state,year,evictions,log_evictions,delta
California,2018,2924,7.981049759665957,-3.8470659351726493
Utah,2019,1659,7.414572881350589,-1.4477690821657578
Vermont,2021,453,6.118097198041348,-1.3487022769772539
Minnesota,2020,5653,8.640118538253535,-1.1543908517128472
Maine,2020,3068,8.029107054619736,-0.512973852304281
Florida,2020,82471,11.320214120776221,-0.44832983004941873
Georgia,2021,183998,12.122685601793746,-0.301662766373731
Utah,2021,1140,7.039660349862076,-0.2775520584977631
Oklahoma,2017,596,6.391917113392602,-0.26865803644708386
Utah,2020,1505,7.317212408359839,-0.09736047299074979
Hawaii,2015,2245,7.716906135298388,-0.09141691509266714
Nebraska,2015,8668,9.06750872286864,-0.0819132341381259
Maine,2018,5376,8.589885876809678,-0.08020006070970176
California,2017,137051,11.828115694838607,-0.07310837331787567
District Of Columbia,2017,31130,10.345959386273389,-0.07136923898918646
Minnesota,2015,16794,9.728836502046393,-0.07023453356930709
California,2015,156594,11.96141813354891,-0.06787556649919502
Vermont,2015,1692,7.4342573821331355,-0.06737707575027763
Georgia,2016,248785,12.424348368167477,-0.06695209058260332
California,2016,147446,11.901224068156482,-0.06019406539242844
Maine,2015,5836,8.671972245203792,-0.0582333503271979
Florida,2015,137505,11.831422831500362,-0.056824635330810835
District Of Columbia,2015,32665,10.394090060613085,-0.04881057254094756
Maine,2019,5125,8.542080906924017,-0.04780496988566085
Texas,2023,241467,12.394492238119195,-0.04198552958587953
South Carolina,2015,145335,11.886803582118581,-0.04159012569935783
Utah,2018,7060,8.862341963516347,-0.03547704599441026
Florida,2016,133079,11.798705730132413,-0.03271710136794859
Florida,2018,127388,11.755000676163295,-0.032339234257809935
Minnesota,2018,17321,9.75973264889099,-0.02968994735716457
Missouri,2015,42292,10.652376866706707,-0.026528858822160828
Utah,2016,7193,8.881002624255569,-0.026203570709911972
Kentucky,2015,41764,10.639813947190007,-0.022351002650960794
Texas,2015,225744,12.32716132263971,-0.022167154519877386
Vermont,2017,1748,7.466799475018602,-0.020934286417841896
Hawaii,2016,2209,7.700747794511798,-0.016158340786589953
Florida,2017,131575,11.787339910421105,-0.011365819711308234
Utah,2015,7384,8.90720619496548,-0.010774515007810237
Maine,2016,5781,8.662504922576291,-0.009467322627500607
Alaska,2016,2880,7.9658927350845286,-0.0013874438576717552
Alaska,2015,2884,7.9672801789422,-3.465603916161797e-4
Vermont,2018,1748,7.466799475018602,0
Missouri,2017,45422,10.723773863676481,0.0025349673558761054
Texas,2016,226764,12.331669517939371,0.0045081952996604
District Of Columbia,2018,31278,10.350702224838756,0.004742838565366725
Alabama,2015,24339,10.099876366541519,0.007422714492767213
Maine,2017,5825,8.67008593751938,0.007581014943088604
Alabama,2017,25426,10.14356688055654,0.009285117775679197
Florida,2019,129125,11.76854395082564,0.013543274662344729
Georgia,2015,266012,12.49130045875008,0.01541443931060904
Utah,2017,7315,8.897819009510757,0.016816385255188138
Idaho,2022,1923038,14.469417305176496,0.01807463982147972
Idaho,2023,1958170,14.4875214322735,0.018104127097004152
Idaho,2020,1826061,14.417672293558436,0.020939346261835468
District Of Columbia,2016,33433,10.417328625262575,0.02323856464949081
Kentucky,2016,42937,10.667512493729511,0.02769854653950432
Nevada,2015,43739,10.68601829423076,0.029582808016650475
Minnesota,2021,5829,8.670772279344538,0.03065374109100283
Nevada,2016,45129,10.717302492821046,0.03128419859028675
Idaho,2021,1888592,14.451342665355016,0.033670371796580056
Alabama,2016,25191,10.13428176278086,0.03440539623934136
Minnesota,2019,17934,9.794509389966382,0.03477674107539208
Texas,2017,235726,12.370429634760713,0.03876011682134184
Vermont,2016,1785,7.487733761436444,0.05347637930330862
Minnesota,2017,17843,9.789422596248155,0.06058609420176175
Nebraska,2016,9215,9.128696382935672,0.06118766006703247
Texas,2018,251821,12.436477767705075,0.06604813294436163
Oklahoma,2016,780,6.660575149839686,0.06616169008990802
Missouri,2016,45307,10.721238896320605,0.0688620296138982
Georgia,2023,285518,12.56206385577629,0.07055290315418539
Oklahoma,2015,730,6.594413459749778,0.0931237892093888
Hawaii,2018,2476,7.814803429489359,0.11405563497756077
Utah,2022,1287,7.160845906664299,0.12118555680222354
Minnesota,2023,25827,10.159214453746358,0.1275535874872471
Florida,2021,94319,11.454448535211252,0.13423441443503137
Maine,2023,5820,8.669227347271736,0.15523928680444676
Maine,2021,3907,8.270781013162674,0.24167395854293794
Maine,2022,4983,8.51398806046729,0.2432070473046153
Georgia,2022,266068,12.491510952622104,0.36882535082835766
Florida,2022,143253,11.87237455739831,0.4179260221870571
Vermont,2022,1308,7.1770187659099,1.058921567868552
Minnesota,2022,22734,10.031660866259111,1.360888586914573
Idaho,2019,1788222,14.3967329472966,NA
