year,group,n_states,states
2000,Control,10,"Alabama, California, Florida, Georgia, Kentucky, Nebraska, Nevada, Oklahoma, South Carolina, Texas"
2000,Treated,14,"Arkansas, Illinois, Indiana, Iowa, Louisiana, Maryland, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Oregon, Pennsylvania, Wisconsin"
2001,Control,10,"Alabama, California, Florida, Georgia, Kentucky, Nebraska, Nevada, Oklahoma, South Carolina, Texas"
2001,Treated,16,"Arizona, Arkansas, Colorado, Illinois, Indiana, Iowa, Louisiana, Maryland, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Oregon, Pennsylvania, Wisconsin"
2002,Control,11,"Alabama, California, District Of Columbia, Florida, Georgia, Kentucky, Nebraska, Nevada, Oklahoma, South Carolina, Texas"
2002,Treated,18,"Arizona, Arkansas, Colorado, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Wisconsin"
2003,Control,12,"Alabama, California, District Of Columbia, Florida, Georgia, Kentucky, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas"
2003,Treated,20,"Arizona, Arkansas, Colorado, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Wisconsin"
2004,Control,14,"Alabama, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah"
2004,Treated,20,"Arizona, Arkansas, Colorado, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Washington, Wisconsin"
2005,Control,14,"Alabama, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah"
2005,Treated,21,"Arizona, Arkansas, Colorado, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Washington, Wisconsin"
2006,Control,15,"Alabama, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah"
2006,Treated,22,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Washington, Wisconsin"
2007,Control,16,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah"
2007,Treated,22,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Washington, Wisconsin"
2008,Control,16,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah"
2008,Treated,23,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, Washington, Wisconsin"
2009,Control,18,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Minnesota, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah, Vermont"
2009,Treated,24,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, Tennessee, Washington, Wisconsin"
2010,Control,18,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Minnesota, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah, Vermont"
2010,Treated,27,"Arizona, Arkansas, Colorado, Connecticut, Delaware, Illinois, Indiana, Iowa, Louisiana, Maryland, Massachusetts, Michigan, Montana, New Hampshire, New Mexico, New York, North Carolina, North Dakota, Ohio, Oregon, Pennsylvania, Rhode Island, South Dakota, Tennessee, Virginia, Washington, Wisconsin"
2011,Control,18,"Alabama, Alaska, California, District Of Columbia, Florida, Georgia, Hawaii, Kentucky, Maine, Minnesota, Missouri, Nebraska, Nevada, Oklahoma, South Carolina, Texas, Utah, Vermont"
