cohort,time,event_time,att,se,n_treated,n_control,n_obs,treatment
30,30,0,-0.02139238607366179,0.015176123960585071,3,1381,1834,Any
30,36,6,0.09928301729443913,0.023524390827104447,3,1258,1639,Any
30,42,12,-0.1211188196200626,0.02472338340937094,3,1258,1793,Any
30,48,18,0.09918031790139982,0.029677912900683844,3,1019,1446,Any
30,54,24,-2.7295320299450485,0.14738386719051721,3,922,1280,Any
30,60,30,-0.09404829027676037,0.16930735635540817,3,885,1216,Any
30,66,36,-0.549270723089531,0.12341847710390244,3,609,859,Any
32,32,0,0.031854882312221416,0.013835928282565916,56,1325,1936,Any
32,38,6,-0.06326312525528215,0.017662410316729816,56,1258,1898,Any
32,44,12,-0.014600524049469057,0.01982922873276739,56,1121,1777,Any
32,50,18,0.03828457491291871,0.024227339546297025,56,1019,1580,Any
32,56,24,0.360492519849094,0.11857952218775644,56,922,1460,Any
32,62,30,0.18655165425015796,0.08833287279153366,56,761,1175,Any
32,68,36,0.06520439115764863,0.06768391898652848,56,609,1021,Any
35,35,0,-0.028437982393239046,0.01161919828785499,67,1258,1849,Any
35,41,6,-0.017366321363131005,0.01938252934731367,67,1258,2005,Any
35,47,12,-0.024016442669950545,0.019456556957526048,67,1029,1654,Any
35,53,18,-1.187848537796287,0.1274513578039111,67,922,1315,Any
35,59,24,0.15521767536045164,0.0981172223337992,67,885,1435,Any
35,65,30,-0.06250258435841115,0.09382700619920163,67,661,1085,Any
35,71,36,0.04725894465431096,0.04148990534815276,67,527,993,Any
43,43,0,-0.3437604655879265,0.16639228397101394,137,1121,1987,Any
43,49,6,0.022177461036215818,0.06066070370738452,137,1019,1785,Any
43,55,12,-0.8807692463594863,0.8476685103583513,137,922,1552,Any
43,61,18,-0.821553599579111,0.7806911531781989,137,761,1306,Any
43,67,24,-0.32620339568535206,0.3552808248013035,137,609,1139,Any
43,73,30,-0.11492309556004626,0.2602597075918491,137,527,1054,Any
43,79,36,0.15272278625327596,0.10876917786536648,137,527,1083,Any
45,45,0,0.0069475884633022076,0.014408461615721698,92,1029,1803,Any
45,51,6,-0.10268824945896275,0.039398427524980656,92,984,1675,Any
45,57,12,0.3021238228757956,0.07066161401755165,92,922,1575,Any
45,63,18,0.17741287070641898,0.11443143029075127,92,661,1137,Any
45,69,24,0.1206853315261071,0.04620430855682553,92,607,1139,Any
45,75,30,-0.03229911086725776,0.059577863303038804,92,527,1066,Any
45,81,36,0.05384087937612692,0.0468833465137684,92,526,1070,Any
48,48,0,-0.17870316379598133,0.013185512444504235,10,1019,1606,Any
48,54,6,-0.98391524674022,0.13470363192643586,10,922,1381,Any
48,60,12,-0.32592697645542185,0.16405383573079632,10,885,1316,Any
48,66,18,-0.32958263385336606,0.10255172048867406,10,609,955,Any
48,72,24,-0.4885816080089257,0.03367353194551046,10,527,882,Any
48,78,30,-0.5596486491987809,0.06117671854482334,10,527,904,Any
48,84,36,-0.6488625275297228,0.06855913855968011,10,526,870,Any
51,51,0,0.14162878398946246,0.03416217015222612,35,984,1511,Any
51,57,6,-0.17835538480403135,0.0828748076789226,35,922,1412,Any
51,63,12,0.11522091674760197,0.1326264505993512,35,661,972,Any
51,69,18,-0.3316146182664307,0.06553323602847497,35,607,970,Any
51,75,24,-0.37922676543161327,0.06125095307440569,35,527,900,Any
51,81,30,-0.2292433523922979,0.05518907816459522,35,526,903,Any
51,87,36,-0.06999222983927249,0.043188092558573574,35,522,853,Any
53,53,0,-0.8195285119711587,0.11965889535951223,62,922,1274,Any
53,59,6,-0.06678471055425379,0.11016436395482415,62,885,1384,Any
