state_abb,g,treat_start,ever_treated
AK,0,NA,FALSE
AR,24235,2019-07-01,TRUE
AZ,24261,2021-09-01,TRUE
CO,24245,2020-05-01,TRUE
CT,24262,2021-10-01,TRUE
DE,24222,2018-06-01,TRUE
FL,0,NA,FALSE
GA,0,NA,FALSE
HI,0,NA,FALSE
ID,0,NA,FALSE
IN,24237,2019-09-01,TRUE
KS,24273,2022-09-01,TRUE
KY,0,NA,FALSE
LA,24263,2021-11-01,TRUE
MA,24277,2023-01-01,TRUE
ME,0,NA,FALSE
MN,0,NA,FALSE
MO,0,NA,FALSE
MS,24224,2018-08-01,TRUE
MT,24243,2020-03-01,TRUE
NC,24255,2021-03-01,TRUE
ND,24258,2021-06-01,TRUE
NH,24240,2019-12-01,TRUE
NM,24226,2018-10-01,TRUE
NV,0,NA,FALSE
NY,24235,2019-07-01,TRUE
OH,24277,2023-01-01,TRUE
OK,0,NA,FALSE
PA,24227,2018-11-01,TRUE
RI,24227,2018-11-01,TRUE
SC,0,NA,FALSE
TN,24251,2020-11-01,TRUE
TX,0,NA,FALSE
UT,0,NA,FALSE
VA,24253,2021-01-01,TRUE
VT,0,NA,FALSE
WI,24263,2021-11-01,TRUE
WV,24224,2018-08-01,TRUE
