state_abb,State,treat_10pct_peak,treat_25pct_peak,treat_50pct_peak,treat_75pct_peak,treat_100M,treat_500M,treat_1000M,legal_online_start,lag_to_50pct,lag_to_500M,lag_to_1000M
AZ,Arizona,2021-09-01,2021-09-01,2021-10-01,2022-03-01,2021-09-01,2021-10-01,2021-11-01,2021-09-01,1,1,2
AR,Arkansas,2021-01-01,2022-09-01,2023-03-01,2023-11-01,2021-11-01,2023-08-01,2024-08-01,2022-03-01,12,17,29
CO,Colorado,2020-08-01,2020-09-01,2021-09-01,2022-01-01,2020-07-01,2020-10-01,2020-12-01,2020-05-01,16,5,7
CT,Connecticut,2021-10-01,2021-11-01,2021-11-01,2023-10-01,2021-11-01,2022-02-01,2022-06-01,2021-10-01,1,4,8
DE,Delaware,2018-06-01,2018-07-01,2018-09-01,2018-09-01,2018-12-01,2022-09-01,2025-10-01,NA,NA,NA,NA
DC,District of Columbia,2020-08-01,2021-10-01,2024-09-01,2024-10-01,2021-02-01,2022-12-01,2024-11-01,2020-05-01,52,31,54
IL,Illinois,2020-09-01,2020-10-01,2021-10-01,2023-10-01,2020-08-01,2020-09-01,2020-11-01,2020-06-01,16,3,5
IN,Indiana,2019-10-01,2019-12-01,2020-12-01,2021-10-01,2019-10-01,2020-01-01,2020-07-01,2019-10-01,14,3,9
IA,Iowa,2019-09-01,2020-10-01,2021-03-01,2021-10-01,2019-11-01,2020-09-01,2021-02-01,2019-08-01,19,13,18
KS,Kansas,2022-09-01,2022-09-01,2022-09-01,2023-10-01,2022-09-01,2022-11-01,2023-02-01,2022-09-01,0,2,5
KY,Kentucky,2023-09-01,2023-10-01,2023-10-01,2023-10-01,2023-10-01,2023-11-01,2024-01-01,NA,NA,NA,NA
LA,Louisiana,2022-01-01,2022-02-01,2022-02-01,2023-11-01,2022-01-01,2022-03-01,2022-05-01,2022-01-01,1,2,4
ME,Maine,2023-11-01,2023-11-01,2023-11-01,2024-03-01,2024-01-01,2024-11-01,2025-09-01,NA,NA,NA,NA
MD,Maryland,2022-11-01,2022-11-01,2022-12-01,2023-12-01,2022-03-01,2022-12-01,2023-01-01,2022-11-01,1,1,2
MA,Massachusetts,2023-03-01,2023-03-01,2023-03-01,2023-11-01,2023-03-01,2023-03-01,2023-04-01,2023-03-01,0,0,1
MI,Michigan,2021-01-01,2021-02-01,2021-03-01,2021-12-01,2020-11-01,2021-02-01,2021-04-01,2021-01-01,2,1,3
MS,Mississippi,2018-09-01,2018-09-01,2018-11-01,2021-01-01,2018-11-01,2019-12-01,2021-02-01,NA,NA,NA,NA
MT,Montana,2020-07-01,2020-08-01,2020-12-01,2022-12-01,2022-10-01,NA,NA,NA,NA,NA,NA
NE,Nebraska,2023-09-01,2023-10-01,2023-12-01,2024-11-01,2025-05-01,NA,NA,NA,NA,NA,NA
NV,Nevada,2018-06-01,2018-06-01,2018-09-01,2021-10-01,2018-06-01,2018-07-01,2018-09-01,NA,NA,NA,NA
NH,New Hampshire,2020-01-01,2020-08-01,2021-01-01,2021-10-01,2020-08-01,2021-04-01,2022-01-01,2019-12-01,13,16,25
NJ,New Jersey,2018-09-01,2019-09-01,2020-11-01,2021-10-01,2018-08-01,2018-10-01,2018-12-01,2018-08-01,27,2,4
NY,New York,2022-01-01,2022-01-01,2022-01-01,2023-10-01,2020-03-01,2022-01-01,2022-01-01,2022-01-01,0,0,0
NC,North Carolina,2024-03-01,2024-03-01,2024-03-01,2024-03-01,2024-03-01,2024-03-01,2024-04-01,NA,NA,NA,NA
OH,Ohio,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,2023-01-01,0,0,0
OR,Oregon,2019-11-01,2020-08-01,2022-10-01,2024-05-01,2020-04-01,2021-10-01,2022-11-01,2019-10-01,36,24,37
PA,Pennsylvania,2019-08-01,2019-10-01,2020-10-01,2021-10-01,2019-03-01,2019-09-01,2019-11-01,2019-05-01,17,4,6
RI,Rhode Island,2018-12-01,2019-01-01,2019-11-01,2021-10-01,2019-05-01,2021-01-01,2022-02-01,2019-09-01,2,16,29
SD,South Dakota,2021-09-01,2021-09-01,2021-10-01,2024-03-01,NA,NA,NA,NA,NA,NA,NA
TN,Tennessee,2020-11-01,2020-12-01,2021-10-01,2023-11-01,2020-11-01,2021-01-01,2021-04-01,2020-11-01,11,2,5
VT,Vermont,2024-01-01,2024-01-01,2024-01-01,2024-02-01,2024-06-01,NA,NA,NA,NA,NA,NA
VA,Virginia,2021-02-01,2021-02-01,2021-10-01,2023-10-01,2021-02-01,2021-03-01,2021-05-01,2021-01-01,9,2,4
WY,Wyoming,2021-09-01,2021-10-01,2022-01-01,2023-10-01,2022-06-01,2024-10-01,NA,2021-09-01,4,37,NA
