state_abb,month_date,delinquency_rate,fips_numeric,log_delinquency_rate
AL,2008-01-01,1.4,1,0.34358970439007686
AL,2008-02-01,1.4,1,0.34358970439007686
AL,2008-03-01,1.4,1,0.34358970439007686
AL,2008-04-01,1.4,1,0.34358970439007686
AL,2008-05-01,1.4,1,0.34358970439007686
AL,2008-06-01,1.5,1,0.412109650826833
AL,2008-07-01,1.6,1,0.4762341789963717
AL,2008-08-01,1.6,1,0.4762341789963717
AL,2008-09-01,1.8,1,0.5933268452777344
AL,2008-10-01,2,1,0.6981347220709843
AL,2008-11-01,2.1,1,0.7466879474879751
AL,2008-12-01,2.3,1,0.837247524533702
AL,2009-01-01,2.5,1,0.9202827531436925
AL,2009-02-01,2.4,1,0.8796267475025635
AL,2009-03-01,2.4,1,0.8796267475025635
AL,2009-04-01,2.5,1,0.9202827531436925
AL,2009-05-01,2.6,1,0.959350221334602
AL,2009-06-01,2.8,1,1.0331844833456543
AL,2009-07-01,3,1,1.1019400787607843
AL,2009-08-01,3.1,1,1.1346227261911428
AL,2009-09-01,3.3,1,1.1969481893889715
AL,2009-10-01,3.5,1,1.2556160374777743
AL,2009-11-01,3.8,1,1.3376291891386094
AL,2009-12-01,3.7,1,1.3110318766193438
AL,2010-01-01,3.9,1,1.3635373739972743
AL,2010-02-01,3.8,1,1.3376291891386094
AL,2010-03-01,3.6,1,1.2837077723447896
AL,2010-04-01,3.5,1,1.2556160374777743
AL,2010-05-01,3.5,1,1.2556160374777743
AL,2010-06-01,3.5,1,1.2556160374777743
AL,2010-07-01,3.3,1,1.1969481893889715
AL,2010-08-01,3.4,1,1.2267122912954254
AL,2010-09-01,3.4,1,1.2267122912954254
AL,2010-10-01,3.4,1,1.2267122912954254
AL,2010-11-01,3.3,1,1.1969481893889715
AL,2010-12-01,3.3,1,1.1969481893889715
AL,2011-01-01,3.3,1,1.1969481893889715
AL,2011-02-01,3.2,1,1.1662709371419244
AL,2011-03-01,3.1,1,1.1346227261911428
AL,2011-04-01,2.9,1,1.068153081183401
AL,2011-05-01,3,1,1.1019400787607843
AL,2011-06-01,3,1,1.1019400787607843
AL,2011-07-01,3,1,1.1019400787607843
AL,2011-08-01,2.9,1,1.068153081183401
AL,2011-09-01,2.9,1,1.068153081183401
AL,2011-10-01,2.9,1,1.068153081183401
AL,2011-11-01,3,1,1.1019400787607843
AL,2011-12-01,3,1,1.1019400787607843
AL,2012-01-01,3.2,1,1.1662709371419244
