state_abb,month_date,filings_count,renter_occupied_housing_units,filings_per_1k_renters,treat_start,treated
AK,2016-01-01,238,80410,2.959830866807611,NA,FALSE
AK,2016-02-01,217,79769,2.7203550251350777,NA,FALSE
AK,2016-03-01,201,81324,2.4715951010771726,NA,FALSE
AK,2016-04-01,216,82735,2.61074515017828,NA,FALSE
AK,2016-05-01,237,80247,2.953381434819993,NA,FALSE
AK,2016-06-01,229,78837,2.904727475677664,NA,FALSE
AK,2016-07-01,219,80754,2.7119399658221264,NA,FALSE
AK,2016-08-01,244,81227,3.003927265564406,NA,FALSE
AK,2016-09-01,216,83899,2.574524130204174,NA,FALSE
AK,2016-10-01,166,79097,2.0986889515405136,NA,FALSE
AK,2016-11-01,176,79512,2.2135023644229803,NA,FALSE
AK,2016-12-01,185,80673,2.2932083844656823,NA,FALSE
AK,2017-01-01,255,81886,3.11408543584984,NA,FALSE
AK,2017-02-01,208,81089,2.5650828102455328,NA,FALSE
AK,2017-03-01,227,80932,2.8048238026985617,NA,FALSE
AK,2017-04-01,238,82594,2.881565246870233,NA,FALSE
AK,2017-05-01,229,77362,2.960109614539438,NA,FALSE
AK,2017-06-01,191,77518,2.463943858200676,NA,FALSE
AK,2017-07-01,253,83534,3.0287068738477747,NA,FALSE
AK,2017-08-01,248,77859,3.185245122593406,NA,FALSE
AK,2017-09-01,200,79323,2.521336812778135,NA,FALSE
AK,2017-10-01,180,76640,2.348643006263048,NA,FALSE
AK,2017-11-01,174,80721,2.1555728992455494,NA,FALSE
AK,2017-12-01,194,81518,2.379842488775485,NA,FALSE
AK,2018-01-01,226,82153,2.750964663493725,NA,FALSE
AK,2018-02-01,203,80172,2.532056079429227,NA,FALSE
AK,2018-03-01,216,77647,2.781820289257795,NA,FALSE
AK,2018-04-01,217,78715,2.7567807914628726,NA,FALSE
AK,2018-05-01,237,79335,2.9873321989033843,NA,FALSE
AK,2018-06-01,212,81405,2.6042626374301334,NA,FALSE
AK,2018-07-01,232,79642,2.9130358353632504,NA,FALSE
AK,2018-08-01,220,81025,2.7152113545202097,NA,FALSE
AK,2018-09-01,147,78858,1.864110172715514,NA,FALSE
AK,2018-10-01,172,80260,2.143035135808622,NA,FALSE
AK,2018-11-01,190,80466,2.361245743543857,NA,FALSE
AK,2018-12-01,171,77901,2.19509377286556,NA,FALSE
AK,2019-01-01,242,79087,3.0599213524346607,NA,FALSE
AK,2019-02-01,210,77183,2.720806395190651,NA,FALSE
AK,2019-03-01,212,80341,2.6387523182434873,NA,FALSE
AK,2019-04-01,175,80022,2.186898602884207,NA,FALSE
AK,2019-05-01,223,84182,2.6490223563232043,NA,FALSE
AK,2019-06-01,202,82277,2.455121115256998,NA,FALSE
AK,2019-07-01,226,81097,2.786786194310517,NA,FALSE
AK,2019-08-01,192,78508,2.445610638406277,NA,FALSE
AK,2019-09-01,202,79942,2.5268319531660453,NA,FALSE
AK,2019-10-01,164,75351,2.1764807368183567,NA,FALSE
AK,2019-11-01,192,76826,2.4991539322625154,NA,FALSE
AK,2019-12-01,183,80992,2.2594824180165944,NA,FALSE
AK,2020-01-01,214,80011,2.674632238067266,NA,FALSE
AK,2020-02-01,227,77400,2.9328165374677004,NA,FALSE
AK,2020-03-01,152,79214,1.918852728053122,NA,FALSE
AK,2020-04-01,41,76089,0.538842671082548,NA,FALSE
AK,2020-05-01,70,72204,0.9694753753254667,NA,FALSE
AK,2020-06-01,119,78921,1.5078369508749256,NA,FALSE
AK,2020-07-01,165,80257,2.055895435912132,NA,FALSE
AK,2020-08-01,172,79838,2.154362584233072,NA,FALSE
AK,2020-09-01,119,80660,1.475328539548723,NA,FALSE
