xsite,xfileyear,xfilemonth,N
CONNECTICUT,2017,1,1762
CONNECTICUT,2017,2,1568
CONNECTICUT,2017,3,1651
CONNECTICUT,2017,4,1277
CONNECTICUT,2017,5,1743
CONNECTICUT,2017,6,1770
CONNECTICUT,2017,7,1820
CONNECTICUT,2017,8,2002
CONNECTICUT,2017,9,1706
CONNECTICUT,2017,10,1874
CONNECTICUT,2017,11,1627
CONNECTICUT,2017,12,1585
CONNECTICUT,2018,1,1686
CONNECTICUT,2018,2,1666
CONNECTICUT,2018,3,1345
CONNECTICUT,2018,4,1426
CONNECTICUT,2018,5,1447
CONNECTICUT,2018,6,1756
CONNECTICUT,2018,7,1824
CONNECTICUT,2018,8,1876
CONNECTICUT,2018,9,1696
CONNECTICUT,2018,10,1992
CONNECTICUT,2018,11,1534
CONNECTICUT,2018,12,1470
CONNECTICUT,2019,1,1715
CONNECTICUT,2019,2,1404
CONNECTICUT,2019,3,1410
CONNECTICUT,2019,4,1275
CONNECTICUT,2019,5,1585
CONNECTICUT,2019,6,1525
CONNECTICUT,2019,7,1848
CONNECTICUT,2019,8,1813
CONNECTICUT,2019,9,1735
CONNECTICUT,2019,10,1708
CONNECTICUT,2019,11,1452
CONNECTICUT,2019,12,1481
DELAWARE,2016,1,1686
DELAWARE,2016,2,1203
DELAWARE,2016,3,1201
DELAWARE,2016,4,1398
DELAWARE,2016,5,1429
DELAWARE,2016,6,1579
DELAWARE,2016,7,1485
DELAWARE,2016,8,1646
DELAWARE,2016,9,1549
DELAWARE,2016,10,1591
DELAWARE,2016,11,1407
DELAWARE,2016,12,1461
DELAWARE,2017,1,1488
DELAWARE,2017,2,1359
DELAWARE,2017,3,1193
DELAWARE,2017,4,1263
DELAWARE,2017,5,1499
DELAWARE,2017,6,1631
DELAWARE,2017,7,1452
DELAWARE,2017,8,1629
DELAWARE,2017,9,1582
DELAWARE,2017,10,1560
DELAWARE,2017,11,1355
DELAWARE,2017,12,1299
DELAWARE,2018,1,1541
DELAWARE,2018,2,1461
DELAWARE,2018,3,1265
DELAWARE,2018,4,1304
DELAWARE,2018,5,1511
DELAWARE,2018,6,1526
DELAWARE,2018,7,1437
DELAWARE,2018,8,1708
DELAWARE,2018,9,1531
DELAWARE,2018,10,1668
DELAWARE,2018,11,1378
DELAWARE,2018,12,1368
DELAWARE,2019,1,1580
DELAWARE,2019,2,1536
DELAWARE,2019,3,1254
DELAWARE,2019,4,1317
DELAWARE,2019,5,1426
DELAWARE,2019,6,1316
DELAWARE,2019,7,1669
DELAWARE,2019,8,1651
DELAWARE,2019,9,1456
DELAWARE,2019,10,1612
DELAWARE,2019,11,1352
DELAWARE,2019,12,1444
INDIANA,2016,1,6501
INDIANA,2016,2,4830
INDIANA,2016,3,4037
INDIANA,2016,4,5548
INDIANA,2016,5,6127
INDIANA,2016,6,6782
INDIANA,2016,7,6352
INDIANA,2016,8,7148
INDIANA,2016,9,6536
INDIANA,2016,10,5828
INDIANA,2016,11,5828
INDIANA,2016,12,5218
INDIANA,2017,1,6826
INDIANA,2017,2,5444
INDIANA,2017,3,4859
INDIANA,2017,4,5366
INDIANA,2017,5,6349
INDIANA,2017,6,6677
INDIANA,2017,7,6582
INDIANA,2017,8,6764
INDIANA,2017,9,6208
INDIANA,2017,10,6210
INDIANA,2017,11,5607
INDIANA,2017,12,4971
INDIANA,2018,1,7174
INDIANA,2018,2,5646
INDIANA,2018,3,4736
INDIANA,2018,4,5780
INDIANA,2018,5,6204
INDIANA,2018,6,6850
INDIANA,2018,7,7345
INDIANA,2018,8,7290
INDIANA,2018,9,6235
INDIANA,2018,10,6928
INDIANA,2018,11,5711
INDIANA,2018,12,4974
INDIANA,2019,1,6640
INDIANA,2019,2,5799
INDIANA,2019,3,4849
INDIANA,2019,4,5779
INDIANA,2019,5,6491
INDIANA,2019,6,6368
INDIANA,2019,7,7154
INDIANA,2019,8,7043
INDIANA,2019,9,6618
INDIANA,2019,10,6481
INDIANA,2019,11,5518
INDIANA,2019,12,5453
MINNESOTA,2012,1,1739
MINNESOTA,2012,2,1380
MINNESOTA,2012,3,1450
MINNESOTA,2012,4,1617
MINNESOTA,2012,5,1643
MINNESOTA,2012,6,1810
MINNESOTA,2012,7,1947
MINNESOTA,2012,8,2018
MINNESOTA,2012,9,1727
MINNESOTA,2012,10,1693
MINNESOTA,2012,11,1576
MINNESOTA,2012,12,1486
MINNESOTA,2013,1,1717
MINNESOTA,2013,2,1410
MINNESOTA,2013,3,1384
MINNESOTA,2013,4,1597
MINNESOTA,2013,5,1720
MINNESOTA,2013,6,1751
MINNESOTA,2013,7,1794
MINNESOTA,2013,8,1802
MINNESOTA,2013,9,1665
MINNESOTA,2013,10,1582
MINNESOTA,2013,11,1382
MINNESOTA,2013,12,1382
MINNESOTA,2014,1,1727
MINNESOTA,2014,2,1327
MINNESOTA,2014,3,1251
MINNESOTA,2014,4,1439
MINNESOTA,2014,5,1492
MINNESOTA,2014,6,1538
MINNESOTA,2014,7,1675
MINNESOTA,2014,8,1506
MINNESOTA,2014,9,1554
MINNESOTA,2014,10,1509
MINNESOTA,2014,11,1108
MINNESOTA,2014,12,1397
MINNESOTA,2015,1,1464
MINNESOTA,2015,2,1242
MINNESOTA,2015,3,1198
MINNESOTA,2015,4,1291
MINNESOTA,2015,5,1303
MINNESOTA,2015,6,1475
MINNESOTA,2015,7,1511
MINNESOTA,2015,8,1491
MINNESOTA,2015,9,1378
MINNESOTA,2015,10,1472
MINNESOTA,2015,11,1156
MINNESOTA,2015,12,1304
MINNESOTA,2016,1,1409
MINNESOTA,2016,2,1097
MINNESOTA,2016,3,1211
MINNESOTA,2016,4,1243
MINNESOTA,2016,5,1305
MINNESOTA,2016,6,1395
MINNESOTA,2016,7,1401
MINNESOTA,2016,8,1512
MINNESOTA,2016,9,1389
MINNESOTA,2016,10,1290
MINNESOTA,2016,11,1153
MINNESOTA,2016,12,1263
MINNESOTA,2017,1,1464
MINNESOTA,2017,2,1237
MINNESOTA,2017,3,1215
MINNESOTA,2017,4,1090
MINNESOTA,2017,5,1334
MINNESOTA,2017,6,1353
MINNESOTA,2017,7,1389
MINNESOTA,2017,8,1462
MINNESOTA,2017,9,1259
MINNESOTA,2017,10,1296
MINNESOTA,2017,11,1201
MINNESOTA,2017,12,1224
MINNESOTA,2018,1,1419
MINNESOTA,2018,2,1184
MINNESOTA,2018,3,1156
MINNESOTA,2018,4,1089
MINNESOTA,2018,5,1317
MINNESOTA,2018,6,1272
MINNESOTA,2018,7,1356
MINNESOTA,2018,8,1387
MINNESOTA,2018,9,1232
MINNESOTA,2018,10,1397
MINNESOTA,2018,11,1197
MINNESOTA,2018,12,1090
MINNESOTA,2019,1,1441
MINNESOTA,2019,2,1147
MINNESOTA,2019,3,1151
MINNESOTA,2019,4,1240
MINNESOTA,2019,5,1312
MINNESOTA,2019,6,1332
MINNESOTA,2019,7,1437
MINNESOTA,2019,8,1351
MINNESOTA,2019,9,1349
MINNESOTA,2019,10,1359
MINNESOTA,2019,11,1146
MINNESOTA,2019,12,1262
MISSOURI,2012,1,5825
MISSOURI,2012,2,5107
MISSOURI,2012,3,5190
MISSOURI,2012,4,5241
MISSOURI,2012,5,6550
MISSOURI,2012,6,6770
MISSOURI,2012,7,6780
MISSOURI,2012,8,6934
MISSOURI,2012,9,6031
MISSOURI,2012,10,6243
MISSOURI,2012,11,5081
MISSOURI,2012,12,4847
MISSOURI,2013,1,5638
MISSOURI,2013,2,4286
MISSOURI,2013,3,4677
MISSOURI,2013,4,5279
MISSOURI,2013,5,5578
MISSOURI,2013,6,5841
MISSOURI,2013,7,6337
MISSOURI,2013,8,5908
MISSOURI,2013,9,5621
MISSOURI,2013,10,6061
MISSOURI,2013,11,4670
MISSOURI,2013,12,4472
MISSOURI,2014,1,4792
MISSOURI,2014,2,3596
MISSOURI,2014,3,3801
MISSOURI,2014,4,3777
MISSOURI,2014,5,4158
MISSOURI,2014,6,4447
MISSOURI,2014,7,4997
MISSOURI,2014,8,4590
MISSOURI,2014,9,4591
MISSOURI,2014,10,4486
MISSOURI,2014,11,3606
MISSOURI,2014,12,3688
MISSOURI,2015,1,5058
MISSOURI,2015,2,3921
MISSOURI,2015,3,3442
MISSOURI,2015,4,4313
MISSOURI,2015,5,4386
MISSOURI,2015,6,4778
MISSOURI,2015,7,5309
MISSOURI,2015,8,5083
MISSOURI,2015,9,5337
MISSOURI,2015,10,4870
MISSOURI,2015,11,4567
MISSOURI,2015,12,5121
MISSOURI,2016,1,556
MISSOURI,2016,2,271
