State,Month,month_date,Handle,Revenue,Hold,Taxes
Arizona,September 2021,2021-09-01,291212868.0,32308342.0,0.111,31393.0
Arizona,October 2021,2021-10-01,486097352.0,37510371.0,0.077,1022841.0
Arizona,November 2021,2021-11-01,466725687.0,51416143.0,0.11,3177148.0
Arizona,December 2021,2021-12-01,499213733.0,39822928.0,0.08,1723902.0
Arizona,January 2022,2022-01-01,563694591.0,41890200.0,0.07400000000000001,1952971.0
Arizona,February 2022,2022-02-01,491665554.0,25629835.0,0.052000000000000005,670686.0
Arizona,March 2022,2022-03-01,690979294.0,38898393.0,0.055999999999999994,1864457.0
Arizona,April 2022,2022-04-01,512877848.0,30441992.0,0.059000000000000004,1647450.0
Arizona,May 2022,2022-05-01,461450688.0,56193286.0,0.122,4125125.0
Arizona,June 2022,2022-06-01,318774198.0,12601356.0,0.04,766831.0
Arizona,July 2022,2022-07-01,290511533.0,22684581.0,0.078,1496427.0
Arizona,August 2022,2022-08-01,361008835.0,37161759.0,0.10300000000000001,2767590.0
Arizona,September 2022,2022-09-01,537966149.0,56428816.0,0.105,3058838.0
Arizona,October 2022,2022-10-01,618570296.0,49392417.0,0.08,2963716.0
Arizona,November 2022,2022-11-01,616855045.0,56028195.0,0.091,3876208.0
Arizona,December 2022,2022-12-01,572490899.0,55581725.0,0.09699999999999999,3724395.0
Arizona,January 2023,2023-01-01,591220794.0,47486817.0,0.08,2886502.0
Arizona,February 2023,2023-02-01,609278096.0,35412452.0,0.057999999999999996,1609581.0
Arizona,March 2023,2023-03-01,644763991.0,53523947.0,0.083,3704268.0
Arizona,April 2023,2023-04-01,535712027.0,49163323.0,0.092,3429846.0
Arizona,May 2023,2023-05-01,451717025.0,49458507.0,0.109,3376059.0
Arizona,June 2023,2023-06-01,393198858.0,28331608.0,0.07200000000000001,1633356.0
Arizona,July 2023,2023-07-01,323211485.0,35343495.0,0.109,2678598.0
Arizona,August 2023,2023-08-01,358875474.0,31681151.0,0.08800000000000001,2128096.0
Arizona,September 2023,2023-09-01,610716285.0,60115066.0,0.098,3243222.0
Arizona,October 2023,2023-10-01,648208573.0,56868981.0,0.08800000000000001,3287799.0
Arizona,November 2023,2023-11-01,713586704.0,42333282.0,0.059000000000000004,2023887.0
Arizona,December 2023,2023-12-01,693310960.0,67697686.0,0.098,4817325.0
Arizona,January 2024,2024-01-01,706382861.0,70943718.0,0.1,4610005.0
Arizona,February 2024,2024-02-01,637485879.0,54329589.0,0.085,2788885.0
Arizona,March 2024,2024-03-01,759807633.0,59289055.0,0.078,3784200.0
Arizona,April 2024,2024-04-01,656322666.0,64489906.0,0.098,4328378.0
Arizona,May 2024,2024-05-01,568493315.0,62444214.0,0.11,4307143.0
Arizona,June 2024,2024-06-01,454116117.0,47269458.0,0.10400000000000001,3157087.0
Arizona,July 2024,2024-07-01,410140440.0,42514638.0,0.10400000000000001,2896319.0
Arizona,August 2024,2024-08-01,496602562.0,37071285.0,0.075,2239781.0
Arizona,September 2024,2024-09-01,732099544.0,76364871.0,0.10400000000000001,3962932.0
Arizona,October 2024,2024-10-01,791243694.0,55622010.0,0.07,2353297.0
Arizona,November 2024,2024-11-01,897635847.0,86285876.0,0.096,5731498.0
Arizona,December 2024,2024-12-01,849316636.0,51089325.0,0.06,2580184.0
Arizona,January 2025,2025-01-01,864246556.0,85003961.0,0.098,5318013.0
Arizona,February 2025,2025-02-01,699726800.0,65584317.0,0.094,3980547.0
Arizona,March 2025,2025-03-01,887363830.0,50409421.0,0.057,2491843.0
Arizona,April 2025,2025-04-01,746436864.0,65890775.0,0.08800000000000001,4337306.0
Arizona,May 2025,2025-05-01,707103199.0,75074646.0,0.106,5169342.0
Arizona,June 2025,2025-06-01,542954635.0,68139684.0,0.125,5028579.0
Arizona,July 2025,2025-07-01,463686016.0,54465871.0,0.11699999999999999,4071327.0
Arizona,August 2025,2025-08-01,610663049.0,61342793.0,0.1,4142225.0
Arizona,September 2025,2025-09-01,851331639.0,57031853.0,0.067,1937777.0
Arkansas,July 2019,2019-07-01,416160.0,76885.0,0.185,9995.0
Arkansas,August 2019,2019-08-01,778249.0,58858.0,0.076,7652.0
Arkansas,September 2019,2019-09-01,2252196.0,183044.0,0.081,23796.0
Arkansas,October 2019,2019-10-01,2216369.0,380006.0,0.171,49401.0
Arkansas,November 2019,2019-11-01,2978235.0,181497.0,0.061,23595.0
Arkansas,December 2019,2019-12-01,2633806.0,455368.0,0.17300000000000001,59198.0
Arkansas,January 2020,2020-01-01,2587732.0,254811.0,0.098,33263.0
Arkansas,February 2020,2020-02-01,4294366.0,411589.0,0.096,67494.0
Arkansas,March 2020,2020-03-01,1588403.0,222373.0,0.14,38310.0
Arkansas,April 2020,2020-04-01,0.0,0.0,,0.0
Arkansas,May 2020,2020-05-01,509.0,-115.0,-0.226,-15.0
Arkansas,June 2020,2020-06-01,1189.0,10.0,0.008,1.0
Arkansas,July 2020,2020-07-01,179315.0,-19633.0,-0.109,-2552.0
Arkansas,August 2020,2020-08-01,1008992.0,69625.0,0.069,9051.0
Arkansas,September 2020,2020-09-01,3958748.0,397095.0,0.1,51622.0
Arkansas,October 2020,2020-10-01,6559859.0,940513.0,0.14300000000000002,122267.0
Arkansas,November 2020,2020-11-01,6288249.0,975984.0,0.155,126878.0
Arkansas,December 2020,2020-12-01,6415446.0,1054273.0,0.16399999999999998,137055.0
Arkansas,January 2021,2021-01-01,7187194.0,1383240.0,0.192,180474.0
Arkansas,February 2021,2021-02-01,4469442.0,651239.0,0.146,92922.0
Arkansas,March 2021,2021-03-01,5947427.0,805182.0,0.135,130877.0
Arkansas,April 2021,2021-04-01,4065703.0,756328.0,0.18600000000000003,131137.0
Arkansas,May 2021,2021-05-01,3687207.0,506142.0,0.13699999999999998,81710.0
Arkansas,June 2021,2021-06-01,3895683.0,382940.0,0.098,59088.0
Arkansas,July 2021,2021-07-01,2908833.0,449040.0,0.154,58375.0
Arkansas,August 2021,2021-08-01,2892285.0,310481.0,0.107,40363.0
Arkansas,September 2021,2021-09-01,7007774.0,809404.0,0.11599999999999999,105223.0
Arkansas,October 2021,2021-10-01,9506183.0,803567.0,0.085,104464.0
Arkansas,November 2021,2021-11-01,8380191.0,1623434.0,0.19399999999999998,211047.0
Arkansas,December 2021,2021-12-01,7794292.0,130305.0,0.017,6188.0
Arkansas,January 2022,2022-01-01,8775932.0,1181335.0,0.135,153574.0
Arkansas,February 2022,2022-02-01,5876444.0,359103.0,0.061,61390.0
Arkansas,March 2022,2022-03-01,10686501.0,791867.0,0.07400000000000001,119671.0
Arkansas,April 2022,2022-04-01,8598226.0,749810.0,0.087,120297.0
Arkansas,May 2022,2022-05-01,10185647.0,615576.0,0.06,117426.0
Arkansas,June 2022,2022-06-01,12632207.0,4045.0,0.0,12598.0
Arkansas,July 2022,2022-07-01,9290467.0,854436.0,0.092,111077.0
Arkansas,August 2022,2022-08-01,10195911.0,1015339.0,0.1,131994.0
Arkansas,September 2022,2022-09-01,21185547.0,3208032.0,0.151,417044.0
Arkansas,October 2022,2022-10-01,26879107.0,2793719.0,0.10400000000000001,363183.0
Arkansas,November 2022,2022-11-01,30576009.0,2999450.0,0.098,452393.0
Arkansas,December 2022,2022-12-01,30936485.0,3409972.0,0.11,449690.0
Arkansas,January 2023,2023-01-01,32976264.0,2868244.0,0.087,439379.0
Arkansas,February 2023,2023-02-01,29532263.0,1709714.0,0.057999999999999996,254925.0
Arkansas,March 2023,2023-03-01,37474412.0,4264047.0,0.114,626042.0
Arkansas,April 2023,2023-04-01,25452659.0,2336023.0,0.092,349633.0
Arkansas,May 2023,2023-05-01,22777209.0,2293281.0,0.10099999999999999,458656.0
Arkansas,June 2023,2023-06-01,22708945.0,1334973.0,0.059000000000000004,266995.0
Arkansas,July 2023,2023-07-01,17577626.0,2077422.0,0.11800000000000001,270065.0
Arkansas,August 2023,2023-08-01,22553214.0,1673538.0,0.07400000000000001,217560.0
Arkansas,September 2023,2023-09-01,41002257.0,3992930.0,0.09699999999999999,519081.0
Arkansas,October 2023,2023-10-01,44986803.0,5825161.0,0.129,757271.0
Arkansas,November 2023,2023-11-01,54770449.0,3018845.0,0.055,392450.0
Arkansas,December 2023,2023-12-01,52952226.0,5762757.0,0.109,783089.0
Arkansas,January 2024,2024-01-01,50698701.0,5855921.0,0.11599999999999999,894654.0
Arkansas,February 2024,2024-02-01,40947811.0,2672209.0,0.065,413682.0
Arkansas,March 2024,2024-03-01,50031696.0,3406749.0,0.068,510490.0
Arkansas,April 2024,2024-04-01,41763742.0,3788712.0,0.091,568356.0
Arkansas,May 2024,2024-05-01,39823867.0,3556977.0,0.08900000000000001,700934.0
Arkansas,June 2024,2024-06-01,31416492.0,3227769.0,0.10300000000000001,645554.0
Arkansas,July 2024,2024-07-01,25464080.0,2677225.0,0.105,348039.0
Arkansas,August 2024,2024-08-01,32207497.0,1941927.0,0.06,252451.0
Arkansas,September 2024,2024-09-01,53056638.0,6918341.0,0.13,899384.0
Arkansas,October 2024,2024-10-01,60435368.0,3150162.0,0.052000000000000005,409521.0
Arkansas,November 2024,2024-11-01,66058203.0,9201130.0,0.139,1196147.0
Arkansas,December 2024,2024-12-01,65930594.0,2008583.0,0.03,277977.0
Arkansas,January 2025,2025-01-01,62347910.0,6931367.0,0.111,1023821.0
Arkansas,February 2025,2025-02-01,46305952.0,4386890.0,0.095,656426.0
Arkansas,March 2025,2025-03-01,65593042.0,1703065.0,0.026000000000000002,248846.0
Arkansas,April 2025,2025-04-01,48687247.0,4542660.0,0.09300000000000001,829731.0
Arkansas,May 2025,2025-05-01,47308479.0,4706466.0,0.099,941293.0
Arkansas,June 2025,2025-06-01,37466071.0,4888919.0,0.13,977784.0
Arkansas,July 2025,2025-07-01,29432610.0,3427539.0,0.11599999999999999,445580.0
Arkansas,August 2025,2025-08-01,40582488.0,4262474.0,0.105,554122.0
Colorado,May 2020,2020-05-01,25621762.0,2565729.0,0.1,96545.0
Colorado,June 2020,2020-06-01,38136949.0,3484015.0,0.091,217945.0
Colorado,July 2020,2020-07-01,59183620.0,5196599.0,0.08800000000000001,239153.0
Colorado,August 2020,2020-08-01,128646209.0,7519599.0,0.057999999999999996,189326.0
Colorado,September 2020,2020-09-01,207655943.0,4166334.0,0.02,69772.0
Colorado,October 2020,2020-10-01,210719821.0,17402409.0,0.083,806618.0
Colorado,November 2020,2020-11-01,231238842.0,18354655.0,0.079,780635.0
Colorado,December 2020,2020-12-01,284551472.0,17151867.0,0.06,531495.0
Colorado,January 2021,2021-01-01,326903462.0,23144535.0,0.071,1194690.0
Colorado,February 2021,2021-02-01,266549207.0,10444810.0,0.039,333976.0
Colorado,March 2021,2021-03-01,300990842.0,20365119.0,0.068,1061008.0
Colorado,April 2021,2021-04-01,244446760.0,17563939.0,0.07200000000000001,1083812.0
Colorado,May 2021,2021-05-01,248968193.0,15129108.0,0.061,633896.0
Colorado,June 2021,2021-06-01,229764688.0,19730957.0,0.086,1186455.0
Colorado,July 2021,2021-07-01,181327995.0,15652461.0,0.086,999111.0
Colorado,August 2021,2021-08-01,211918185.0,15228343.0,0.07200000000000001,728518.0
Colorado,September 2021,2021-09-01,408314625.0,22658630.0,0.055,483048.0
Colorado,October 2021,2021-10-01,491453342.0,28616708.0,0.057999999999999996,1246804.0
