option,estimand,target_h,n_states,n_switchers,mde_80
A1,overall_att,NA,10,3,1
A1,overall_att,NA,10,5,1.5333333333333337
A1,overall_att,NA,10,8,1
A1,overall_att,NA,15,3,1
A1,overall_att,NA,15,5,1.3333333333333337
A1,overall_att,NA,15,8,2.5
A1,overall_att,NA,15,10,2.3333333333333335
A1,overall_att,NA,20,3,1.08
A1,overall_att,NA,20,5,1.8000000000000003
A1,overall_att,NA,20,8,1.7000000000000002
A1,overall_att,NA,20,10,2
A1,overall_att,NA,25,3,1
A1,overall_att,NA,25,5,1
A1,overall_att,NA,25,8,2.5000000000000004
A1,overall_att,NA,25,10,2.3333333333333335
A2,overall_att,NA,10,3,1
A2,overall_att,NA,10,5,1
A2,overall_att,NA,10,8,1
A2,overall_att,NA,15,3,1
A2,overall_att,NA,15,5,2.6666666666666674
A2,overall_att,NA,15,8,1.777777777777778
A2,overall_att,NA,15,10,NA
A2,overall_att,NA,20,3,1
A2,overall_att,NA,20,5,1
A2,overall_att,NA,20,8,2.500000000000001
A2,overall_att,NA,20,10,3
A2,overall_att,NA,25,3,1
A2,overall_att,NA,25,5,1
A2,overall_att,NA,25,8,2
A2,overall_att,NA,25,10,3
