location,location_std,month_date,filings_count,filings_avg,is_state
ALBUQUERQUE,albuquerque,2017-01-01,956,NA,FALSE
ALBUQUERQUE,albuquerque,2017-02-01,848,NA,FALSE
ALBUQUERQUE,albuquerque,2017-03-01,698,NA,FALSE
ALBUQUERQUE,albuquerque,2017-04-01,774,NA,FALSE
ALBUQUERQUE,albuquerque,2017-05-01,850,NA,FALSE
ALBUQUERQUE,albuquerque,2017-06-01,954,NA,FALSE
ALBUQUERQUE,albuquerque,2017-07-01,914,NA,FALSE
ALBUQUERQUE,albuquerque,2017-08-01,1007,NA,FALSE
ALBUQUERQUE,albuquerque,2017-09-01,926,NA,FALSE
ALBUQUERQUE,albuquerque,2017-10-01,981,NA,FALSE
ALBUQUERQUE,albuquerque,2017-11-01,812,NA,FALSE
ALBUQUERQUE,albuquerque,2017-12-01,826,NA,FALSE
ALBUQUERQUE,albuquerque,2018-01-01,979,NA,FALSE
ALBUQUERQUE,albuquerque,2018-02-01,863,NA,FALSE
ALBUQUERQUE,albuquerque,2018-03-01,698,NA,FALSE
ALBUQUERQUE,albuquerque,2018-04-01,811,NA,FALSE
ALBUQUERQUE,albuquerque,2018-05-01,876,NA,FALSE
ALBUQUERQUE,albuquerque,2018-06-01,917,NA,FALSE
ALBUQUERQUE,albuquerque,2018-07-01,1049,NA,FALSE
ALBUQUERQUE,albuquerque,2018-08-01,1021,NA,FALSE
ALBUQUERQUE,albuquerque,2018-09-01,936,NA,FALSE
ALBUQUERQUE,albuquerque,2018-10-01,1035,NA,FALSE
ALBUQUERQUE,albuquerque,2018-11-01,888,NA,FALSE
ALBUQUERQUE,albuquerque,2018-12-01,819,NA,FALSE
ALBUQUERQUE,albuquerque,2019-01-01,1060,NA,FALSE
ALBUQUERQUE,albuquerque,2019-02-01,869,NA,FALSE
ALBUQUERQUE,albuquerque,2019-03-01,726,NA,FALSE
ALBUQUERQUE,albuquerque,2019-04-01,838,NA,FALSE
ALBUQUERQUE,albuquerque,2019-05-01,916,NA,FALSE
ALBUQUERQUE,albuquerque,2019-06-01,965,NA,FALSE
ALBUQUERQUE,albuquerque,2019-07-01,1018,NA,FALSE
ALBUQUERQUE,albuquerque,2019-08-01,1034,NA,FALSE
ALBUQUERQUE,albuquerque,2019-09-01,1038,NA,FALSE
ALBUQUERQUE,albuquerque,2019-10-01,965,NA,FALSE
ALBUQUERQUE,albuquerque,2019-11-01,919,NA,FALSE
ALBUQUERQUE,albuquerque,2019-12-01,922,NA,FALSE
"Albuquerque, NM","albuquerque, nm",2020-01-01,1023,755,FALSE
"Albuquerque, NM","albuquerque, nm",2020-02-01,888,703.5,FALSE
"Albuquerque, NM","albuquerque, nm",2020-03-01,698,724.5,FALSE
"Albuquerque, NM","albuquerque, nm",2020-04-01,298,743,FALSE
"Albuquerque, NM","albuquerque, nm",2020-05-01,271,809,FALSE
"Albuquerque, NM","albuquerque, nm",2020-06-01,301,790.5,FALSE
"Albuquerque, NM","albuquerque, nm",2020-07-01,295,797.5,FALSE
"Albuquerque, NM","albuquerque, nm",2020-08-01,410,900.5,FALSE
"Albuquerque, NM","albuquerque, nm",2020-09-01,386,777,FALSE
"Albuquerque, NM","albuquerque, nm",2020-10-01,416,815.5,FALSE
"Albuquerque, NM","albuquerque, nm",2020-11-01,425,710.5,FALSE
"Albuquerque, NM","albuquerque, nm",2020-12-01,215,733.5,FALSE
"Albuquerque, NM","albuquerque, nm",2021-01-01,550,755,FALSE
