fips,name,date,filings_count,percent_of_historical_average,renter_occupied_housing_units,poverty_rate
21235,Whitley,2024-12-01 12:00:00,9,105.88,4515.0,25.1
21235,Whitley,2024-11-01 12:00:00,11,151.72,4515.0,25.1
21235,Whitley,2024-10-01 12:00:00,4,40.0,4515.0,25.1
21235,Whitley,2024-09-01 12:00:00,5,55.56,4515.0,25.1
21235,Whitley,2024-08-01 12:00:00,6,58.54,4515.0,25.1
21235,Whitley,2024-07-01 12:00:00,12,129.73,4515.0,25.1
21235,Whitley,2024-06-01 12:00:00,6,57.14,4515.0,25.1
21235,Whitley,2018-09-01 12:00:00,12,133.33,4515.0,25.1
21235,Whitley,2018-08-01 12:00:00,8,78.05,4515.0,25.1
21235,Whitley,2018-07-01 12:00:00,6,64.86,4515.0,25.1
21235,Whitley,2018-06-01 12:00:00,8,76.19,4515.0,25.1
21235,Whitley,2018-05-01 12:00:00,9,109.09,4515.0,25.1
21235,Whitley,2018-04-01 12:00:00,3,42.86,4515.0,25.1
21235,Whitley,2018-03-01 12:00:00,8,80.0,4515.0,25.1
21235,Whitley,2018-02-01 12:00:00,4,66.67,4515.0,25.1
21235,Whitley,2018-01-01 12:00:00,8,62.75,4515.0,25.1
21235,Whitley,2023-12-01 12:00:00,3,35.29,4515.0,25.1
21235,Whitley,2023-11-01 12:00:00,8,110.34,4515.0,25.1
21235,Whitley,2023-10-01 12:00:00,9,90.0,4515.0,25.1
21235,Whitley,2023-09-01 12:00:00,13,144.44,4515.0,25.1
21235,Whitley,2023-08-01 12:00:00,8,78.05,4515.0,25.1
21235,Whitley,2023-07-01 12:00:00,12,129.73,4515.0,25.1
21235,Whitley,2023-06-01 12:00:00,11,104.76,4515.0,25.1
21235,Whitley,2024-05-01 12:00:00,9,109.09,4515.0,25.1
21235,Whitley,2024-04-01 12:00:00,10,142.86,4515.0,25.1
21235,Whitley,2024-03-01 12:00:00,4,40.0,4515.0,25.1
21235,Whitley,2024-02-01 12:00:00,4,66.67,4515.0,25.1
21235,Whitley,2024-01-01 12:00:00,4,31.37,4515.0,25.1
21235,Whitley,2018-12-01 12:00:00,12,141.18,4515.0,25.1
21235,Whitley,2018-11-01 12:00:00,10,137.93,4515.0,25.1
21235,Whitley,2018-10-01 12:00:00,7,70.0,4515.0,25.1
21235,Whitley,2023-05-01 12:00:00,11,133.33,4515.0,25.1
21235,Whitley,2023-04-01 12:00:00,5,71.43,4515.0,25.1
21235,Whitley,2023-03-01 12:00:00,11,110.0,4515.0,25.1
21235,Whitley,2023-02-01 12:00:00,5,83.33,4515.0,25.1
21235,Whitley,2023-01-01 12:00:00,6,47.06,4515.0,25.1
21235,Whitley,2020-11-01 12:00:00,1,13.79,4515.0,25.1
21235,Whitley,2020-10-01 12:00:00,3,30.0,4515.0,25.1
21235,Whitley,2020-09-01 12:00:00,3,33.33,4515.0,25.1
21235,Whitley,2020-08-01 12:00:00,11,107.32,4515.0,25.1
21235,Whitley,2020-07-01 12:00:00,6,64.86,4515.0,25.1
21235,Whitley,2020-06-01 12:00:00,2,19.05,4515.0,25.1
21235,Whitley,2020-03-01 12:00:00,3,30.0,4515.0,25.1
21235,Whitley,2020-02-01 12:00:00,9,150.0,4515.0,25.1
21235,Whitley,2020-01-01 12:00:00,12,94.12,4515.0,25.1
36067,Onondaga,2023-11-01 12:00:00,418,155.39,66950.0,13.9
36067,Onondaga,2021-06-01 12:00:00,66,14.32,66950.0,13.9
36067,Onondaga,2025-09-01 12:00:00,420,114.75,66950.0,13.9
36067,Onondaga,2019-10-01 12:00:00,421,100.0,66950.0,13.9
36067,Onondaga,2021-05-01 12:00:00,85,21.96,66950.0,13.9
36067,Onondaga,2025-04-01 12:00:00,438,120.99,66950.0,13.9
36067,Onondaga,2022-05-01 12:00:00,498,128.68,66950.0,13.9
21109,Jackson,2019-12-01 12:00:00,1,80.0,1017.0,23.0
21109,Jackson,2019-11-01 12:00:00,1,36.36,1017.0,23.0
21109,Jackson,2019-10-01 12:00:00,3,133.33,1017.0,23.0
21109,Jackson,2019-09-01 12:00:00,4,160.0,1017.0,23.0
21109,Jackson,2019-08-01 12:00:00,1,33.33,1017.0,23.0
21109,Jackson,2019-07-01 12:00:00,5,200.0,1017.0,23.0
21109,Jackson,2019-06-01 12:00:00,1,57.14,1017.0,23.0
21109,Jackson,2019-04-01 12:00:00,6,138.57,1017.0,23.0
21109,Jackson,2019-03-01 12:00:00,1,40.0,1017.0,23.0
21109,Jackson,2019-02-01 12:00:00,1,40.0,1017.0,23.0
21109,Jackson,2024-12-01 12:00:00,1,80.0,1017.0,23.0
21109,Jackson,2024-11-01 12:00:00,1,36.36,1017.0,23.0
21109,Jackson,2024-10-01 12:00:00,2,88.89,1017.0,23.0
21109,Jackson,2024-09-01 12:00:00,3,120.0,1017.0,23.0
21109,Jackson,2024-08-01 12:00:00,3,100.0,1017.0,23.0
21109,Jackson,2024-06-01 12:00:00,4,228.57,1017.0,23.0
21109,Jackson,2024-05-01 12:00:00,3,90.09,1017.0,23.0
21109,Jackson,2024-04-01 12:00:00,1,23.09,1017.0,23.0
21109,Jackson,2024-02-01 12:00:00,1,40.0,1017.0,23.0
21109,Jackson,2024-01-01 12:00:00,1,40.0,1017.0,23.0
08059,Jefferson,2019-02-01 12:00:00,379,100.0,70545.0,6.7
08059,Jefferson,2022-05-01 12:00:00,296,81.32,70545.0,6.7
08059,Jefferson,2022-03-01 12:00:00,337,119.5,70545.0,6.7
08059,Jefferson,2021-05-01 12:00:00,60,16.48,70545.0,6.7
08059,Jefferson,2023-05-01 12:00:00,274,75.27,70545.0,6.7
08059,Jefferson,2020-05-01 12:00:00,2,0.55,70545.0,6.7
08059,Jefferson,2022-10-01 12:00:00,344,96.9,70545.0,6.7
08059,Jefferson,2022-02-01 12:00:00,300,79.16,70545.0,6.7
08059,Jefferson,2023-03-01 12:00:00,415,147.16,70545.0,6.7
08059,Jefferson,2022-06-01 12:00:00,298,112.03,70545.0,6.7
08059,Jefferson,2023-06-01 12:00:00,165,62.03,70545.0,6.7
08059,Jefferson,2019-03-01 12:00:00,282,100.0,70545.0,6.7
08059,Jefferson,2021-01-01 12:00:00,210,52.76,70545.0,6.7
33019,Sullivan,2023-06-01 12:00:00,17,89.47,4048.0,10.8
33019,Sullivan,2023-07-01 12:00:00,0,0.0,4048.0,10.8
21055,Crittenden,2021-12-01 12:00:00,4,200.0,797.0,18.1
21055,Crittenden,2021-11-01 12:00:00,2,80.0,797.0,18.1
21055,Crittenden,2021-09-01 12:00:00,3,81.74,797.0,18.1
21055,Crittenden,2021-08-01 12:00:00,3,133.33,797.0,18.1
21055,Crittenden,2021-07-01 12:00:00,2,150.38,797.0,18.1
21055,Crittenden,2021-06-01 12:00:00,3,300.0,797.0,18.1
21055,Crittenden,2021-05-01 12:00:00,2,,797.0,18.1
21055,Crittenden,2021-04-01 12:00:00,1,40.0,797.0,18.1
21055,Crittenden,2021-02-01 12:00:00,1,50.0,797.0,18.1
21055,Crittenden,2019-12-01 12:00:00,2,100.0,797.0,18.1
21055,Crittenden,2019-08-01 12:00:00,4,177.78,797.0,18.1
21055,Crittenden,2019-07-01 12:00:00,2,150.38,797.0,18.1
21055,Crittenden,2019-04-01 12:00:00,4,160.0,797.0,18.1
21055,Crittenden,2019-03-01 12:00:00,1,100.0,797.0,18.1
21055,Crittenden,2019-02-01 12:00:00,1,50.0,797.0,18.1
21055,Crittenden,2019-01-01 12:00:00,1,66.67,797.0,18.1
21055,Crittenden,2024-12-01 12:00:00,3,150.0,797.0,18.1
21055,Crittenden,2024-11-01 12:00:00,2,80.0,797.0,18.1
21055,Crittenden,2024-10-01 12:00:00,4,200.0,797.0,18.1
21055,Crittenden,2024-09-01 12:00:00,2,54.5,797.0,18.1
21055,Crittenden,2024-08-01 12:00:00,1,44.44,797.0,18.1
21055,Crittenden,2024-06-01 12:00:00,1,100.0,797.0,18.1
21055,Crittenden,2024-04-01 12:00:00,1,40.0,797.0,18.1
21055,Crittenden,2024-03-01 12:00:00,2,200.0,797.0,18.1
21055,Crittenden,2024-02-01 12:00:00,1,50.0,797.0,18.1
21055,Crittenden,2024-01-01 12:00:00,1,66.67,797.0,18.1
21153,Magoffin,2025-07-01 12:00:00,3,100.0,1025.0,33.4
21153,Magoffin,2025-06-01 12:00:00,3,92.31,1025.0,33.4
21153,Magoffin,2025-05-01 12:00:00,3,60.0,1025.0,33.4
21153,Magoffin,2025-04-01 12:00:00,3,100.0,1025.0,33.4
