option,panel_choice,estimand,target_h,effect_size,power,mean_est,mean_se,sign_error_rate_sig,severe_mag_error_rate_sig,mean_exaggeration_ratio_sig,n_sims,n_units,n_clusters,start_date,end_date
A1,states_from_counties,overall_att,NA,0,0.82,-0.01495932011270478,0.03658042651843436,NA,NA,NA,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,0.25,0.74,0.005401066298599895,0.04603528134614613,0.40540540540540543,0.21621621621621623,1.2324865276669474,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,0.5,0.7346938775510204,0.09100203656896245,0.03837951765296646,0.3333333333333333,0,0.5330750338705419,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,0.75,0.82,0.06618443697986177,0.027403247374853914,0.2682926829268293,0.07317073170731707,0.5412389126474962,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,1,0.88,0.08995119490480727,0.035785146028623996,0.22727272727272727,0,0.31225500162260567,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,1.25,0.88,0.10650380656881375,0.03561354453405271,0.20454545454545456,0,0.29963706909546517,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,1.5,0.86,0.2404007361015466,0.031361029203907244,0.11627906976744186,0,0.27269056662113866,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,2,0.9183673469387755,0.4970195683962801,0.03735800532333089,0.06666666666666667,0,0.28455828763964985,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,2.5,0.9,0.42852416404526866,0.046014459931459355,0.06666666666666667,0,0.19013928936676905,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,3,0.96,0.5670207158004305,0.040947004245546564,0.0625,0,0.20161674509274805,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,4,0.98,0.8625965091335641,0.03445457251015752,0.04081632653061224,0,0.2255318652576962,50,15,15,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,5,1,0.984249505932619,0.037222500153340415,0.020833333333333332,0,0.20754629490729481,50,15,15,2016-01-01,2025-09-01
