option,panel_choice,estimand,target_h,effect_size,power,mean_est,mean_se,sign_error_rate_sig,severe_mag_error_rate_sig,mean_exaggeration_ratio_sig,n_sims,n_units,n_clusters,start_date,end_date
A1,states_from_counties,overall_att,NA,0,0.4482758620689655,-0.001145580244492781,0.019669974856022895,NA,NA,NA,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,0.25,0.39285714285714285,0.017691877040994824,0.03521159673767404,0.09090909090909091,0,0.3264828582185948,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,0.5,0.42857142857142855,0.06242114989196184,0.03125616699880521,0.16666666666666666,0,0.27164005197828284,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,0.75,0.7272727272727273,0.09224868780976256,0.028162413888638813,0.0625,0,0.15152966076909605,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,1,0.6666666666666666,0.10280626106773091,0.02811215506996782,0.1,0,0.1375155490720743,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,1.25,0.625,0.09318798241883734,0.039462427162864244,0,0,0.1060358051047901,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,1.5,0.8620689655172413,0.1274993582080153,0.022755762771428503,0.04,0,0.12092275249411441,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,2,0.8846153846153846,0.21871732036065075,0.036635598176281856,0.043478260869565216,0,0.1128554656999522,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,2.5,0.96875,0.24411586316675415,0.029798185148930536,0,0,0.10138036640733752,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,3,0.9393939393939394,0.315943035103708,0.02552766405244774,0,0,0.10109479539213147,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,4,1,0.4027457948652866,0.025439327415261496,0,0,0.09993525955145449,50,16,16,2016-01-01,2025-09-01
A1,states_from_counties,overall_att,NA,5,0.9696969696969697,0.4824510173381789,0.020854027523237856,0,0,0.10262042821352187,50,16,16,2016-01-01,2025-09-01
