state_abb,total_months,min_time_id,max_time_id,g_id,ever_treated,pre_treat_months
AK,117,24193,24309,0,FALSE,117
DE,117,24193,24309,0,FALSE,117
FL,117,24193,24309,0,FALSE,117
GA,117,24193,24309,0,FALSE,117
KY,117,24193,24309,0,FALSE,117
MN,117,24193,24309,0,FALSE,117
MT,117,24193,24309,0,FALSE,117
OK,117,24193,24309,0,FALSE,117
TX,117,24193,24309,0,FALSE,117
UT,117,24193,24309,0,FALSE,117
VT,117,24193,24309,0,FALSE,117
ND,114,24193,24306,0,FALSE,114
MS,99,24193,24291,0,FALSE,99
NC,90,24193,24282,0,FALSE,90
SC,86,24224,24309,0,FALSE,86
OH,117,24193,24309,24277,TRUE,84
KS,110,24193,24302,24273,TRUE,80
AR,117,24193,24309,24267,TRUE,74
CT,115,24193,24307,24262,TRUE,69
AZ,117,24193,24309,24261,TRUE,68
VA,117,24193,24309,24253,TRUE,60
TN,117,24193,24309,24251,TRUE,58
IN,117,24193,24309,24238,TRUE,45
PA,117,24193,24309,24233,TRUE,40
WI,37,24253,24289,0,FALSE,37
NY,81,24229,24309,24265,TRUE,36
HI,33,24241,24273,0,FALSE,33
WV,117,24193,24309,24224,TRUE,31
CO,59,24229,24287,24245,TRUE,16
NH,61,24228,24288,24240,TRUE,12
