treat_definition,pre_treat_threshold,n_states,n_treated,n_never_treated,rejection_rate_effect0,mean_se,states_included,status
first_start_date,6,30,19,11,0.8367346938775511,0.05688308741996112,AK;AR;AZ;CO;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;NH;NY;OH;OK;PA;SC;TN;TX;UT;VA;VT;WI;WV,ok
first_start_date,12,28,17,11,0.7872340425531915,0.052803402792453505,AK;AR;AZ;CO;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;NH;OH;OK;PA;SC;TN;TX;UT;VA;VT;WV,ok
first_start_date,18,26,15,11,0.8367346938775511,0.05087748976325496,AK;AR;AZ;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;OH;OK;PA;SC;TN;TX;UT;VA;VT;WV,ok
first_start_date,24,26,15,11,0.7755102040816326,0.06870628574570564,AK;AR;AZ;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;OH;OK;PA;SC;TN;TX;UT;VA;VT;WV,ok
first_start_date,30,25,14,11,0.8163265306122449,0.05063672255190014,AK;AR;AZ;CT;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;OH;OK;PA;SC;TN;TX;UT;VA;VT;WV,ok
first_start_date,36,21,11,10,0.7857142857142857,0.048706525347037774,AK;AR;AZ;CT;FL;GA;IN;KS;KY;MN;MT;NC;ND;OH;OK;SC;TN;TX;UT;VA;VT,ok
first_start_date,48,19,9,10,0.76,0.04156200247797586,AK;AZ;CT;FL;GA;KS;KY;MN;MT;NC;ND;OH;OK;SC;TN;TX;UT;VA;VT,ok
first_start_date,60,17,7,10,0.7446808510638298,0.0313754606210448,AK;AZ;CT;FL;GA;KS;KY;MN;NC;ND;OH;OK;SC;TX;UT;VA;VT,ok
first_start_date,72,12,2,10,NA,0,AK;FL;GA;KS;KY;MN;OH;OK;SC;TX;UT;VT,ok
first_start_date,84,11,1,10,NA,NA,AK;FL;GA;KY;MN;OH;OK;SC;TX;UT;VT,infeasible
first_start_date,96,9,0,9,NA,NA,AK;FL;GA;KY;MN;OK;TX;UT;VT,infeasible
online_start_date,6,30,13,17,0.88,0.03540733685680354,AK;AR;AZ;CO;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;NH;NY;OH;OK;PA;SC;TN;TX;UT;VA;VT;WI;WV,ok
online_start_date,12,30,13,17,0.92,0.03273177145503094,AK;AR;AZ;CO;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;NH;NY;OH;OK;PA;SC;TN;TX;UT;VA;VT;WI;WV,ok
online_start_date,18,28,11,17,0.88,0.03303946892397795,AK;AR;AZ;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;NY;OH;OK;PA;SC;TN;TX;UT;VA;VT;WI;WV,ok
online_start_date,24,28,11,17,0.9,0.03653651129024587,AK;AR;AZ;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;NY;OH;OK;PA;SC;TN;TX;UT;VA;VT;WI;WV,ok
online_start_date,30,28,11,17,0.86,0.044474910640616976,AK;AR;AZ;CT;DE;FL;GA;HI;IN;KS;KY;MN;MS;MT;NC;ND;NY;OH;OK;PA;SC;TN;TX;UT;VA;VT;WI;WV,ok
online_start_date,36,26,10,16,0.8,0.04222551820682999,AK;AR;AZ;CT;DE;FL;GA;IN;KS;KY;MN;MS;MT;NC;ND;NY;OH;OK;PA;SC;TN;TX;UT;VA;VT;WI,ok
online_start_date,48,22,7,15,0.7959183673469388,0.04422403336961738,AK;AR;AZ;CT;DE;FL;GA;KS;KY;MN;MS;MT;NC;ND;OH;OK;SC;TN;TX;UT;VA;VT,ok
online_start_date,60,21,6,15,0.68,0.03835203625514999,AK;AR;AZ;CT;DE;FL;GA;KS;KY;MN;MS;MT;NC;ND;OH;OK;SC;TX;UT;VA;VT,ok
online_start_date,72,18,3,15,0.25806451612903225,0.028063943127090693,AK;AR;DE;FL;GA;KS;KY;MN;MS;MT;NC;ND;OH;OK;SC;TX;UT;VT,ok
online_start_date,84,16,1,15,NA,NA,AK;DE;FL;GA;KY;MN;MS;MT;NC;ND;OH;OK;SC;TX;UT;VT,infeasible
online_start_date,96,13,0,13,NA,NA,AK;DE;FL;GA;KY;MN;MS;MT;ND;OK;TX;UT;VT,infeasible
