coverage_threshold,n_states,n_rows,n_months,effect_pct,effect_log,n_sims,n_ok,n_fail,power,mean_att,sd_att,mean_se,se_over_sdatt
0,37,3349,108,0,0,50,50,0,0.04,-0.009443142721965095,0.049516736108855874,0.05412864692785684,1.0931384251349343
0,37,3349,108,0.05,0.04879016416943201,50,50,0,0.08,0.039347021447466914,0.04951673610885588,0.05412864692785684,1.093138425134934
0,37,3349,108,0.1,0.09531017980432487,50,50,0,0.34,0.08586703708235977,0.04951673610885588,0.05412864692785684,1.093138425134934
0,37,3349,108,0.15,0.13976194237515868,50,50,0,0.68,0.1303187996531936,0.049516736108855874,0.05412864692785684,1.0931384251349343
0,37,3349,108,0.2,0.18232155679395465,50,50,0,0.84,0.17287841407198956,0.049516736108855874,0.05412864692785684,1.0931384251349343
40,35,3279,108,0,0,50,50,0,0.04,0.012834264705938373,0.05741844209132152,0.05517432107444543,0.9609163722466222
40,35,3279,108,0.05,0.04879016416943201,50,50,0,0.28,0.06162442887537038,0.05741844209132152,0.05517432107444543,0.9609163722466222
40,35,3279,108,0.1,0.09531017980432487,50,50,0,0.5,0.10814444451026324,0.05741844209132152,0.05517432107444543,0.9609163722466222
40,35,3279,108,0.15,0.13976194237515868,50,50,0,0.7,0.15259620708109706,0.05741844209132153,0.05517432107444543,0.9609163722466221
40,35,3279,108,0.2,0.18232155679395465,50,50,0,0.94,0.19515582149989302,0.05741844209132153,0.05517432107444543,0.9609163722466221
60,32,3125,108,0,0,50,50,0,0,0.0035245383948434637,0.05280028054006496,0.05549805667323392,1.0510939734708773
60,32,3125,108,0.05,0.04879016416943201,50,50,0,0.06,0.05231470256427547,0.052800280540064956,0.05549805667323392,1.0510939734708773
60,32,3125,108,0.1,0.09531017980432487,50,50,0,0.4,0.09883471819916832,0.052800280540064956,0.05549805667323392,1.0510939734708773
60,32,3125,108,0.15,0.13976194237515868,50,50,0,0.76,0.14328648077000214,0.05280028054006496,0.05549805667323392,1.0510939734708773
60,32,3125,108,0.2,0.18232155679395465,50,50,0,0.94,0.1858460951887981,0.05280028054006496,0.05549805667323392,1.0510939734708773
80,26,2722,108,0,0,50,50,0,0.04,9.924807641678982e-4,0.05724347156878328,0.053205143790087193,0.9294534788330636
80,26,2722,108,0.05,0.04879016416943201,50,50,0,0.18,0.04978264493359991,0.05724347156878328,0.053205143790087193,0.9294534788330636
80,26,2722,108,0.1,0.09531017980432487,50,50,0,0.44,0.09630266056849277,0.05724347156878328,0.053205143790087193,0.9294534788330636
80,26,2722,108,0.15,0.13976194237515868,50,50,0,0.68,0.14075442313932657,0.05724347156878328,0.053205143790087193,0.9294534788330636
80,26,2722,108,0.2,0.18232155679395465,50,50,0,0.86,0.18331403755812256,0.05724347156878329,0.053205143790087193,0.9294534788330635
100,23,2484,108,0,0,50,50,0,0.02,0.005362721336107821,0.047203313778967665,0.05041805157336222,1.0681040701813385
100,23,2484,108,0.05,0.04879016416943201,50,50,0,0.18,0.05415288550553983,0.04720331377896767,0.05041805157336222,1.0681040701813382
100,23,2484,108,0.1,0.09531017980432487,50,50,0,0.52,0.10067290114043269,0.04720331377896767,0.05041805157336222,1.0681040701813382
100,23,2484,108,0.15,0.13976194237515868,50,50,0,0.78,0.1451246637112665,0.047203313778967665,0.05041805157336222,1.0681040701813385
100,23,2484,108,0.2,0.18232155679395465,50,50,0,0.88,0.18768427813006247,0.047203313778967665,0.05041805157336222,1.0681040701813385
108,23,2484,108,0,0,50,50,0,0.02,0.005362721336107821,0.047203313778967665,0.05041805157336222,1.0681040701813385
108,23,2484,108,0.05,0.04879016416943201,50,50,0,0.18,0.05415288550553983,0.04720331377896767,0.05041805157336222,1.0681040701813382
108,23,2484,108,0.1,0.09531017980432487,50,50,0,0.52,0.10067290114043269,0.04720331377896767,0.05041805157336222,1.0681040701813382
108,23,2484,108,0.15,0.13976194237515868,50,50,0,0.78,0.1451246637112665,0.047203313778967665,0.05041805157336222,1.0681040701813385
108,23,2484,108,0.2,0.18232155679395465,50,50,0,0.88,0.18768427813006247,0.047203313778967665,0.05041805157336222,1.0681040701813385
