"g","t","n_treat_pre","n_treat_post","n_control_pre","n_control_post","n_total","identifiable","reason"
24224,24224,1,1,16,17,35,TRUE,NA
24224,24225,1,1,16,17,35,TRUE,NA
24224,24226,1,1,16,17,35,TRUE,NA
24224,24227,1,1,16,17,35,TRUE,NA
24224,24228,1,1,16,17,35,TRUE,NA
24224,24229,1,1,16,17,35,TRUE,NA
24224,24230,1,1,16,17,35,TRUE,NA
24224,24231,1,1,16,17,35,TRUE,NA
24224,24232,1,1,16,17,35,TRUE,NA
24224,24233,1,1,16,17,35,TRUE,NA
24224,24234,1,1,16,17,35,TRUE,NA
24224,24235,1,1,16,17,35,TRUE,NA
24224,24236,1,1,16,17,35,TRUE,NA
24224,24237,1,1,16,17,35,TRUE,NA
24224,24238,1,1,16,17,35,TRUE,NA
24224,24239,1,1,16,17,35,TRUE,NA
24224,24240,1,1,16,17,35,TRUE,NA
24224,24241,1,1,16,20,38,TRUE,NA
24224,24242,1,1,16,20,38,TRUE,NA
24224,24243,1,1,16,20,38,TRUE,NA
24224,24244,1,1,16,20,38,TRUE,NA
24224,24245,1,1,16,20,38,TRUE,NA
24224,24246,1,1,16,20,38,TRUE,NA
24224,24247,1,1,16,20,38,TRUE,NA
24224,24248,1,1,16,20,38,TRUE,NA
24224,24249,1,0,16,20,37,FALSE,"n_treat_post=0"
24224,24250,1,0,16,20,37,FALSE,"n_treat_post=0"
24224,24251,1,0,16,20,37,FALSE,"n_treat_post=0"
24224,24252,1,0,16,20,37,FALSE,"n_treat_post=0"
24224,24253,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24254,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24255,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24256,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24257,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24258,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24259,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24260,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24261,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24262,1,0,16,21,38,FALSE,"n_treat_post=0"
24224,24263,1,0,16,21,38,FALSE,"n_treat_post=0"
