"g","t","event_time","n_treat_pre","n_treat_post","n_control_pre","n_control_post","n_total","identifiable","reason"
201806,201806,0,1,1,11,11,24,TRUE,NA
201806,201807,1,1,1,11,11,24,TRUE,NA
201806,201808,2,1,1,11,12,25,TRUE,NA
201806,201809,3,1,1,11,12,25,TRUE,NA
201806,201810,4,1,1,11,12,25,TRUE,NA
201806,201811,5,1,1,11,12,25,TRUE,NA
201806,201812,6,1,1,11,12,25,TRUE,NA
201806,201901,95,1,1,11,12,25,TRUE,NA
201806,201902,96,1,1,11,12,25,TRUE,NA
201806,201903,97,1,1,11,12,25,TRUE,NA
201806,201904,98,1,1,11,12,25,TRUE,NA
201806,201905,99,1,1,11,12,25,TRUE,NA
201806,201906,100,1,1,11,12,25,TRUE,NA
201806,201907,101,1,1,11,12,25,TRUE,NA
201806,201908,102,1,1,11,12,25,TRUE,NA
201806,201909,103,1,1,11,12,25,TRUE,NA
201806,201910,104,1,1,11,12,25,TRUE,NA
201806,201911,105,1,1,11,12,25,TRUE,NA
201806,201912,106,1,1,11,12,25,TRUE,NA
201806,202001,195,1,1,11,13,26,TRUE,NA
201806,202002,196,1,1,11,13,26,TRUE,NA
201806,202003,197,1,1,11,13,26,TRUE,NA
201806,202004,198,1,1,11,13,26,TRUE,NA
201806,202005,199,1,1,11,13,26,TRUE,NA
201806,202006,200,1,1,11,13,26,TRUE,NA
201806,202007,201,1,1,11,13,26,TRUE,NA
201806,202008,202,1,1,11,13,26,TRUE,NA
201806,202009,203,1,1,11,13,26,TRUE,NA
201806,202010,204,1,1,11,13,26,TRUE,NA
201806,202011,205,1,1,11,13,26,TRUE,NA
201806,202012,206,1,1,11,13,26,TRUE,NA
201806,202101,295,1,1,11,13,26,TRUE,NA
201806,202102,296,1,1,11,13,26,TRUE,NA
201806,202103,297,1,1,11,13,26,TRUE,NA
201806,202104,298,1,1,11,13,26,TRUE,NA
201806,202105,299,1,1,11,13,26,TRUE,NA
201806,202106,300,1,1,11,13,26,TRUE,NA
201806,202107,301,1,1,11,13,26,TRUE,NA
201806,202108,302,1,1,11,13,26,TRUE,NA
201806,202109,303,1,1,11,13,26,TRUE,NA
201806,202110,304,1,1,11,13,26,TRUE,NA
201806,202111,305,1,1,11,13,26,TRUE,NA
201806,202112,306,1,1,11,13,26,TRUE,NA
201806,202201,395,1,1,11,13,26,TRUE,NA
201806,202202,396,1,1,11,13,26,TRUE,NA
201806,202203,397,1,1,11,13,26,TRUE,NA
201806,202204,398,1,1,11,13,26,TRUE,NA
201806,202205,399,1,1,11,13,26,TRUE,NA
201806,202206,400,1,1,11,13,26,TRUE,NA
201806,202207,401,1,1,11,13,26,TRUE,NA
201806,202208,402,1,1,11,13,26,TRUE,NA
201806,202209,403,1,1,11,13,26,TRUE,NA
