"cohort","n_states","n_obs","min_event_time","max_event_time","states"
201806,1,37,-12,24,"DE"
201808,2,74,-12,24,"MS, WV"
201810,1,37,-12,24,"NM"
201811,2,63,-12,24,"PA, RI"
201907,2,74,-12,24,"AR, NY"
201909,1,37,-12,24,"IN"
201912,1,37,-12,24,"NH"
202003,1,37,-12,24,"MT"
202005,1,37,-12,24,"CO"
202011,1,37,-12,24,"TN"
202101,1,37,-12,24,"VA"
202103,1,37,-12,24,"NC"
202106,1,37,-12,24,"ND"
202109,1,37,-12,24,"AZ"
202110,1,37,-12,24,"CT"
202111,2,74,-12,24,"LA, WI"
202209,1,37,-12,24,"KS"
202301,2,60,-12,24,"MA, OH"
