"event_time","n_cohorts","total_obs","cohorts","se","significant","problem","se_category"
-12,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",2258.02715650389,FALSE,TRUE,"Severe (> 1000)"
-11,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",1129.00877718904,FALSE,TRUE,"Severe (> 1000)"
-10,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",0.233344440554476,TRUE,FALSE,"Normal (< 10)"
-9,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",2258.12226664012,FALSE,TRUE,"Severe (> 1000)"
-8,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",0.297260991104895,TRUE,FALSE,"Normal (< 10)"
-7,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",1079.98107542997,FALSE,TRUE,"Severe (> 1000)"
-6,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",0.203562497640628,TRUE,FALSE,"Normal (< 10)"
-5,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",0.191486423527702,TRUE,FALSE,"Normal (< 10)"
-4,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",0.153466813805124,TRUE,FALSE,"Normal (< 10)"
-3,18,23,"201806, 201808, 201810, 201811, 201907, 201909, 201912, 202003, 202005, 202011, 202101, 202103, 202106, 202109, 202110, 202111, 202209, 202301",0.142853555332086,TRUE,FALSE,"Normal (< 10)"
