"event_bin","coef","se","ci_lower","ci_upper","event_time_numeric"
"-12",-0.0553292866452632,0.214593306585925,-0.475932167553677,0.365273594263151,-12
"-11",0.00946762905383181,0.192137185151866,-0.367121253843826,0.38605651195149,-11
"-10",0.0527233134931266,0.190992607619093,-0.321622197440296,0.42706882442655,-10
"-9",0.0481805031902892,0.197599208874378,-0.339113946203492,0.43547495258407,-9
"-8",0.0804969341031705,0.192889131262609,-0.297565763171544,0.458559631377885,-8
"-7",0.072155566717671,0.191170801287702,-0.302539203806225,0.446850337241566,-7
"-6",0.099210974490013,0.193207120703739,-0.279474982089315,0.477896931069341,-6
"-5",0.0623283894677693,0.188156768006713,-0.306458875825387,0.431115654760926,-5
"-4",0.0473261885925717,0.187188644609479,-0.319563554842007,0.41421593202715,-4
"-3",0.032677910283868,0.188279316462033,-0.336349549981717,0.401705370549453,-3
"-2",-0.0298822484196393,0.189459156308968,-0.401222194785216,0.341457697945937,-2
"-1",0,0,0,0,-1
"0",-0.0478854912993951,0.182328342755324,-0.40524904309983,0.30947806050104,0
"1",0.0876244503654035,0.18322382201705,-0.271494240788014,0.446743141518821,1
"2",0.0784010499010405,0.190174749056519,-0.294341458249737,0.451143558051818,2
"3",0.0746738361268605,0.187357204613332,-0.292546284915271,0.441893957168992,3
"4",0.104715383663083,0.180329043360497,-0.24872954132349,0.458160308649656,4
"5",0.0665199341036993,0.165989474278101,-0.258819435481379,0.391859303688778,5
"6",0.0441347219675904,0.164357266058179,-0.278005519506439,0.36627496344162,6
"7",0.0477165419986998,0.172973945690167,-0.291312391554028,0.386745475551427,7
"8",0.113277812222837,0.175902470379293,-0.231491029720578,0.458046654166252,8
"9",-0.0926449992793717,0.264226134039543,-0.610528221996876,0.425238223438133,9
"10",-0.283986999102714,0.299669086633791,-0.871338408904945,0.303364410699516,10
"11",-0.0490891006703394,0.248345811480679,-0.53584689117247,0.437668689831791,11
"12",0.0137377247440146,0.161815865167638,-0.303421370984557,0.330896820472586,12
"13",0.0575146544352242,0.1605695568153,-0.257201676922764,0.372230985793213,13
"14",0.116960250552275,0.154643040054109,-0.186140107953779,0.420060609058329,14
"15",0.0226247566525064,0.164442360251187,-0.29968226943982,0.344931782744833,15
"16",0.0420935534477651,0.165074766498687,-0.281452988889661,0.365640095785191,16
"17",0.0191562249391982,0.188892287591301,-0.351072658739751,0.389385108618147,17
"18",-0.0606811551507293,0.223726807574903,-0.499185697997538,0.37782338769608,18
"19",0.0425466362277598,0.163497959592441,-0.277909364573425,0.363002637028944,19
"20",0.0222455691991153,0.160662406880756,-0.292652748287166,0.337143886685396,20
"21",0.134235208630938,0.141426808235624,-0.142961335510885,0.41143175277276,21
"22",0.104630728834254,0.0779730647633339,-0.0481964781018803,0.257457935770389,22
"23",-0.0187527942698627,0.069906859389385,-0.155770238673057,0.118264650133332,23
