"event_time","coef","se","ci_lower","ci_upper","significant"
-12,0.163999918426971,0.228405467680647,-0.283674798227096,0.611674635081039,FALSE
-11,0.187714126852607,0.198592158586385,-0.201526503976708,0.576954757681922,FALSE
-10,0.241210333079735,0.188247943002291,-0.127755635204756,0.610176301364226,FALSE
-9,0.214299135360407,0.202742717695598,-0.183076591322965,0.611674862043778,FALSE
-8,0.253205416320274,0.192634799742912,-0.124358791175834,0.630769623816383,FALSE
-7,0.234012198936155,0.194061396948103,-0.146348139082127,0.614372536954437,FALSE
-6,0.281129868252547,0.196770971008246,-0.104541234923615,0.666800971428709,FALSE
-5,0.249872685339928,0.190295520008211,-0.123106533876165,0.622851904556021,FALSE
-4,0.232401032980292,0.188890495731048,-0.137824338652562,0.602626404613145,FALSE
-3,0.237218748638932,0.188028015840792,-0.13131616240902,0.605753659686884,FALSE
-2,0.138395769499381,0.182676315356628,-0.21964980859961,0.496441347598373,FALSE
-1,0,0,0,0,FALSE
0,0.00777974512438347,0.206585568121313,-0.397127968393389,0.412687458642156,FALSE
1,0.170644374662289,0.202383251646197,-0.226026798564256,0.567315547888835,FALSE
2,0.180984132388267,0.215760407728612,-0.241906266759813,0.603874531536347,FALSE
3,0.123727555117074,0.220154479664838,-0.307775225026009,0.555230335260156,FALSE
4,0.201286201340553,0.198982845143012,-0.18872017513975,0.591292577820856,FALSE
5,0.113416454774354,0.19393046145826,-0.266687249683835,0.493520159232543,FALSE
6,0.0569414469961985,0.194136078483793,-0.323565266832036,0.437448160824433,FALSE
7,0.0738421910822943,0.203375570125901,-0.324773926364471,0.47245830852906,FALSE
8,0.173178982455822,0.21589954274675,-0.249984121327809,0.596342086239453,FALSE
9,-0.136242341914482,0.361921677293925,-0.845608829410575,0.573124145581611,FALSE
10,-0.200824679526403,0.373920774735876,-0.93370939800872,0.532060038955914,FALSE
11,-0.0439112588306834,0.329929247655203,-0.690572584234882,0.602750066573515,FALSE
12,0.0723010570585625,0.190472964673389,-0.30102595370128,0.445628067818405,FALSE
13,0.140205214724276,0.181303028544992,-0.215148721223907,0.495559150672459,FALSE
14,0.208568146465841,0.176698367350234,-0.137760653540617,0.554896946472299,FALSE
15,0.188855081108282,0.174295539429077,-0.152764176172709,0.530474338389274,FALSE
16,0.183548010691759,0.1789644636057,-0.167222337975413,0.53431835935893,FALSE
17,0.177126817795758,0.218625309431481,-0.251378788689945,0.60563242428146,FALSE
18,0.0699042268041724,0.278245477296916,-0.475456908697784,0.615265362306129,FALSE
19,0.168363112476849,0.205066209611018,-0.233566658360746,0.570292883314444,FALSE
20,0.108473752349178,0.213296565819089,-0.309587516656237,0.526535021354593,FALSE
21,0.218864127742297,0.189179312768165,-0.151927325283306,0.5896555807679,FALSE
22,0.201661496412884,0.0927511630227368,0.0198692168883196,0.383453775937448,TRUE
23,0.00719195710886411,0.0915569857150508,-0.172259734892635,0.186643649110364,FALSE
