"coef_name","event_time","coef","se","ci_lower","ci_upper","significant"
"event_time::-12",-12,-2.11615119220611,0.229472025954423,-2.56591636307678,-1.66638602133544,TRUE
"event_time::-11",-11,-2.08950857610766,1775.75802285073,-3482.57523336353,3478.39621621132,FALSE
"event_time::-10",-10,-2.17893595069179,1775.76302099666,-3482.67445710415,3478.31658520276,FALSE
"event_time::-9",-9,-1.46223142973054,1775.76318088569,-3481.95806596568,3479.03360310622,FALSE
"event_time::-8",-8,-2.32564894714122,1775.81349939414,-3482.92010775965,3478.26880986537,FALSE
"event_time::-7",-7,-1.99263567819709,1775.79945895904,-3482.55957523792,3478.57430388152,FALSE
"event_time::-6",-6,-1.63836162863473,0.284909766887978,-2.19678477173517,-1.0799384855343,TRUE
"event_time::-5",-5,-2.10631934065174,1775.9286139292,-3482.92640264189,3478.71376396059,FALSE
"event_time::-4",-4,-1.25434315164783,0.209114469068867,-1.66420751102281,-0.844478792272851,TRUE
"event_time::-3",-3,-1.42838437106633,1775.82176784959,-3482.03904935626,3479.18228061412,FALSE
"event_time::-2",-2,-1.6813860259793,1775.91910659452,-3482.48283495125,3479.12006289929,FALSE
"Reference",-1,0,0,0,0,FALSE
"event_time::0",0,-1.77267470190696,1775.87376426589,-3482.48525266305,3478.93990325924,FALSE
"event_time::1",1,-0.50810306182591,1664.81353752762,-3263.54263661596,3262.52643049231,FALSE
"event_time::2",2,-0.920930634471985,0.310959348797807,-1.53041095811569,-0.311450310828283,TRUE
"event_time::3",3,-1.41580214322533,1664.81053019448,-3264.4444413244,3261.61283703795,FALSE
"event_time::4",4,-1.01544252608209,3329.27238253573,-6526.38931229612,6524.35842724396,FALSE
"event_time::5",5,-1.5118390283671,0.222859422735664,-1.948643496929,-1.0750345598052,TRUE
"event_time::6",6,-1.63281313154317,0.192451136941297,-2.01001735994811,-1.25560890313822,TRUE
"event_time::7",7,-0.784126641908485,0.178513276075035,-1.13401266301555,-0.434240620801417,TRUE
"event_time::8",8,-1.11722644183051,0.200088905195975,-1.50940069601462,-0.725052187646396,TRUE
"event_time::9",9,-0.908876202030893,1776.27302248093,-3482.40400026465,3480.58624786059,FALSE
"event_time::10",10,-0.730024065894094,0.575719340858839,-1.85843397397742,0.398385842189231,FALSE
"event_time::11",11,-1.55555584119334,1776.19519178929,-3482.89813174819,3479.78702006581,FALSE
"event_time::12",12,-0.1408983578852,3329.47558003405,-6525.91303522463,6525.63123850886,FALSE
"event_time::13",13,-0.989370055671294,1775.57451234571,-3481.11541425327,3479.13667414193,FALSE
"event_time::14",14,-0.62038121049153,1775.71135810356,-3481.01464309346,3479.77388067248,FALSE
"event_time::15",15,-0.354881759859134,1902.44316489648,-3729.14348495697,3728.43372143725,FALSE
"event_time::16",16,-0.610876645595515,1902.70951360787,-3729.92152331702,3728.69977002582,FALSE
"event_time::17",17,-0.252303674738884,1775.66702288557,-3480.55966853046,3480.05506118099,FALSE
"event_time::18",18,-0.178199106437179,0.181902254524814,-0.534727525305815,0.178329312431457,FALSE
"event_time::19",19,-0.348954764926618,2048.99578330791,-4016.38069004843,4015.68278051857,FALSE
"event_time::20",20,-0.00469270389729822,0.209541345352563,-0.415393740788322,0.406008332993726,FALSE
"event_time::21",21,0.125586526839696,0.0306603557252973,0.0654922296181137,0.185680824061279,TRUE
"event_time::22",22,0.478567635868232,1.01696044190211e-06,0.478565642625766,0.478569629110698,TRUE
