"g","t","event_time","n_treat_pre","n_treat_post","n_control_pre","n_control_post","n_total","identifiable","reason"
201912,202401,489,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202402,490,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202403,491,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202404,492,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202405,493,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202406,494,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202407,495,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202408,496,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202409,497,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202410,498,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202411,499,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202412,500,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202501,589,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202502,590,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202503,591,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202504,592,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202505,593,1,0,12,11,24,FALSE,"n_treat_post=0"
201912,202506,594,1,0,12,10,23,FALSE,"n_treat_post=0"
201912,202507,595,1,0,12,10,23,FALSE,"n_treat_post=0"
201912,202508,596,1,0,12,10,23,FALSE,"n_treat_post=0"
201912,202509,597,1,0,12,10,23,FALSE,"n_treat_post=0"
202005,202312,307,1,0,13,12,26,FALSE,"n_treat_post=0"
202005,202401,396,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202402,397,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202403,398,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202404,399,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202405,400,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202406,401,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202407,402,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202408,403,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202409,404,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202410,405,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202411,406,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202412,407,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202501,496,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202502,497,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202503,498,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202504,499,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202505,500,1,0,13,11,25,FALSE,"n_treat_post=0"
202005,202506,501,1,0,13,10,24,FALSE,"n_treat_post=0"
202005,202507,502,1,0,13,10,24,FALSE,"n_treat_post=0"
202005,202508,503,1,0,13,10,24,FALSE,"n_treat_post=0"
202005,202509,504,1,0,13,10,24,FALSE,"n_treat_post=0"
202101,202101,0,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202102,1,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202103,2,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202104,3,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202105,4,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202106,5,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202107,6,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202108,7,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202109,8,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202110,9,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202111,10,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202112,11,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202201,100,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202202,101,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202203,102,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202204,103,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202205,104,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202206,105,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202207,106,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202208,107,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202209,108,0,1,0,13,14,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202210,109,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202211,110,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202212,111,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202301,200,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202302,201,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202303,202,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202304,203,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202305,204,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202306,205,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202307,206,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202308,207,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202309,208,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202310,209,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202311,210,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202312,211,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202401,300,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202402,301,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202403,302,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202404,303,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202405,304,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202406,305,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202407,306,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202408,307,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202409,308,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202410,309,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202411,310,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202412,311,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202501,400,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202502,401,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202503,402,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202504,403,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202505,404,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202506,405,0,1,0,10,11,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202507,406,0,1,0,10,11,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202508,407,0,1,0,10,11,FALSE,"n_treat_pre=0, n_control_pre=0"
202101,202509,408,0,1,0,10,11,FALSE,"n_treat_pre=0, n_control_pre=0"
202103,202307,204,1,0,13,12,26,FALSE,"n_treat_post=0"
202103,202308,205,1,0,13,12,26,FALSE,"n_treat_post=0"
202103,202309,206,1,0,13,12,26,FALSE,"n_treat_post=0"
202103,202310,207,1,0,13,12,26,FALSE,"n_treat_post=0"
202103,202311,208,1,0,13,12,26,FALSE,"n_treat_post=0"
202103,202312,209,1,0,13,12,26,FALSE,"n_treat_post=0"
202103,202401,298,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202402,299,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202403,300,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202404,301,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202405,302,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202406,303,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202407,304,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202408,305,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202409,306,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202410,307,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202411,308,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202412,309,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202501,398,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202502,399,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202503,400,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202504,401,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202505,402,1,0,13,11,25,FALSE,"n_treat_post=0"
202103,202506,403,1,0,13,10,24,FALSE,"n_treat_post=0"
202103,202507,404,1,0,13,10,24,FALSE,"n_treat_post=0"
202103,202508,405,1,0,13,10,24,FALSE,"n_treat_post=0"
202103,202509,406,1,0,13,10,24,FALSE,"n_treat_post=0"
202106,202507,401,1,0,13,10,24,FALSE,"n_treat_post=0"
202106,202508,402,1,0,13,10,24,FALSE,"n_treat_post=0"
202106,202509,403,1,0,13,10,24,FALSE,"n_treat_post=0"
202110,202508,398,1,0,13,10,24,FALSE,"n_treat_post=0"
202110,202509,399,1,0,13,10,24,FALSE,"n_treat_post=0"
202111,202402,291,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202403,292,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202404,293,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202405,294,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202406,295,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202407,296,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202408,297,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202409,298,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202410,299,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202411,300,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202412,301,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202501,390,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202502,391,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202503,392,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202504,393,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202505,394,1,0,13,11,25,FALSE,"n_treat_post=0"
202111,202506,395,1,0,13,10,24,FALSE,"n_treat_post=0"
202111,202507,396,1,0,13,10,24,FALSE,"n_treat_post=0"
202111,202508,397,1,0,13,10,24,FALSE,"n_treat_post=0"
202111,202509,398,1,0,13,10,24,FALSE,"n_treat_post=0"
202209,202503,294,1,0,13,11,25,FALSE,"n_treat_post=0"
202209,202504,295,1,0,13,11,25,FALSE,"n_treat_post=0"
202209,202505,296,1,0,13,11,25,FALSE,"n_treat_post=0"
202209,202506,297,1,0,13,10,24,FALSE,"n_treat_post=0"
202209,202507,298,1,0,13,10,24,FALSE,"n_treat_post=0"
202209,202508,299,1,0,13,10,24,FALSE,"n_treat_post=0"
202209,202509,300,1,0,13,10,24,FALSE,"n_treat_post=0"
202301,202301,0,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202302,1,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202303,2,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202304,3,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202305,4,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202306,5,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202307,6,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202308,7,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202309,8,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202310,9,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202311,10,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202312,11,0,1,0,12,13,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202401,100,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202402,101,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202403,102,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202404,103,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202405,104,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202406,105,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202407,106,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202408,107,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202409,108,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202410,109,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202411,110,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202412,111,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202501,200,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202502,201,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202503,202,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202504,203,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202505,204,0,1,0,11,12,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202506,205,0,1,0,10,11,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202507,206,0,1,0,10,11,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202508,207,0,1,0,10,11,FALSE,"n_treat_pre=0, n_control_pre=0"
202301,202509,208,0,1,0,10,11,FALSE,"n_treat_pre=0, n_control_pre=0"
