"g","t","event_time","n_treat_pre","n_treat_post","n_control_pre","n_control_post","n_total","identifiable","reason"
20,20,0,2,2,20,20,44,TRUE,NA
20,21,1,2,2,20,20,44,TRUE,NA
20,22,2,2,2,20,20,44,TRUE,NA
20,23,3,2,2,20,20,44,TRUE,NA
20,24,4,2,2,20,20,44,TRUE,NA
20,25,5,2,2,20,20,44,TRUE,NA
20,26,6,2,2,20,20,44,TRUE,NA
20,27,7,2,2,20,20,44,TRUE,NA
20,28,8,2,2,20,20,44,TRUE,NA
20,29,9,2,2,20,20,44,TRUE,NA
20,30,10,2,2,20,20,44,TRUE,NA
20,31,11,2,2,20,20,44,TRUE,NA
20,32,12,2,2,20,20,44,TRUE,NA
20,33,13,2,2,20,20,44,TRUE,NA
20,34,14,2,2,20,20,44,TRUE,NA
20,35,15,2,2,20,20,44,TRUE,NA
20,36,16,2,2,20,20,44,TRUE,NA
20,37,17,2,2,20,20,44,TRUE,NA
20,38,18,2,2,20,20,44,TRUE,NA
20,39,19,2,2,20,20,44,TRUE,NA
20,40,20,2,2,20,20,44,TRUE,NA
20,41,21,2,2,20,20,44,TRUE,NA
20,42,22,2,2,20,20,44,TRUE,NA
20,43,23,2,2,20,20,44,TRUE,NA
20,44,24,2,2,20,20,44,TRUE,NA
20,45,25,2,2,20,20,44,TRUE,NA
20,46,26,2,2,20,20,44,TRUE,NA
20,47,27,2,2,20,20,44,TRUE,NA
20,48,28,2,2,20,20,44,TRUE,NA
20,49,29,2,2,20,20,44,TRUE,NA
20,50,30,2,2,20,20,44,TRUE,NA
20,51,31,2,2,20,20,44,TRUE,NA
20,52,32,2,2,20,20,44,TRUE,NA
20,53,33,2,2,20,20,44,TRUE,NA
20,54,34,2,2,20,20,44,TRUE,NA
20,55,35,2,2,20,20,44,TRUE,NA
20,56,36,2,1,20,20,43,TRUE,NA
20,57,37,2,1,20,20,43,TRUE,NA
20,58,38,2,1,20,20,43,TRUE,NA
20,59,39,2,1,20,20,43,TRUE,NA
20,60,40,2,1,20,20,43,TRUE,NA
25,25,0,2,2,20,20,44,TRUE,NA
25,26,1,2,2,20,20,44,TRUE,NA
25,27,2,2,2,20,20,44,TRUE,NA
25,28,3,2,2,20,20,44,TRUE,NA
25,29,4,2,2,20,20,44,TRUE,NA
25,30,5,2,2,20,20,44,TRUE,NA
25,31,6,2,2,20,20,44,TRUE,NA
25,32,7,2,2,20,20,44,TRUE,NA
25,33,8,2,2,20,20,44,TRUE,NA
25,34,9,2,2,20,20,44,TRUE,NA
25,35,10,2,2,20,20,44,TRUE,NA
25,36,11,2,2,20,20,44,TRUE,NA
25,37,12,2,2,20,20,44,TRUE,NA
25,38,13,2,2,20,20,44,TRUE,NA
25,39,14,2,2,20,20,44,TRUE,NA
25,40,15,2,2,20,20,44,TRUE,NA
25,41,16,2,2,20,20,44,TRUE,NA
25,42,17,2,2,20,20,44,TRUE,NA
25,43,18,2,2,20,20,44,TRUE,NA
25,44,19,2,2,20,20,44,TRUE,NA
25,45,20,2,2,20,20,44,TRUE,NA
25,46,21,2,2,20,20,44,TRUE,NA
25,47,22,2,2,20,20,44,TRUE,NA
25,48,23,2,2,20,20,44,TRUE,NA
25,49,24,2,2,20,20,44,TRUE,NA
25,50,25,2,2,20,20,44,TRUE,NA
25,51,26,2,2,20,20,44,TRUE,NA
25,52,27,2,2,20,20,44,TRUE,NA
25,53,28,2,2,20,20,44,TRUE,NA
25,54,29,2,2,20,20,44,TRUE,NA
25,55,30,2,2,20,20,44,TRUE,NA
25,56,31,2,1,20,20,43,TRUE,NA
25,57,32,2,1,20,20,43,TRUE,NA
25,58,33,2,1,20,20,43,TRUE,NA
25,59,34,2,1,20,20,43,TRUE,NA
25,60,35,2,1,20,20,43,TRUE,NA
30,30,0,2,2,20,20,44,TRUE,NA
30,31,1,2,2,20,20,44,TRUE,NA
30,32,2,2,2,20,20,44,TRUE,NA
30,33,3,2,2,20,20,44,TRUE,NA
30,34,4,2,2,20,20,44,TRUE,NA
30,35,5,2,2,20,20,44,TRUE,NA
30,36,6,2,2,20,20,44,TRUE,NA
30,37,7,2,2,20,20,44,TRUE,NA
30,38,8,2,2,20,20,44,TRUE,NA
30,39,9,2,2,20,20,44,TRUE,NA
30,40,10,2,2,20,20,44,TRUE,NA
30,41,11,2,2,20,20,44,TRUE,NA
30,42,12,2,2,20,20,44,TRUE,NA
30,43,13,2,2,20,20,44,TRUE,NA
30,44,14,2,2,20,20,44,TRUE,NA
30,45,15,2,2,20,20,44,TRUE,NA
30,46,16,2,2,20,20,44,TRUE,NA
30,47,17,2,2,20,20,44,TRUE,NA
30,48,18,2,2,20,20,44,TRUE,NA
30,49,19,2,2,20,20,44,TRUE,NA
30,50,20,2,2,20,20,44,TRUE,NA
30,51,21,2,2,20,20,44,TRUE,NA
30,52,22,2,2,20,20,44,TRUE,NA
30,53,23,2,2,20,20,44,TRUE,NA
30,54,24,2,2,20,20,44,TRUE,NA
30,55,25,2,2,20,20,44,TRUE,NA
30,56,26,2,1,20,20,43,TRUE,NA
30,57,27,2,1,20,20,43,TRUE,NA
30,58,28,2,1,20,20,43,TRUE,NA
30,59,29,2,1,20,20,43,TRUE,NA
30,60,30,2,1,20,20,43,TRUE,NA
35,35,0,2,2,20,20,44,TRUE,NA
35,36,1,2,2,20,20,44,TRUE,NA
35,37,2,2,2,20,20,44,TRUE,NA
35,38,3,2,2,20,20,44,TRUE,NA
35,39,4,2,2,20,20,44,TRUE,NA
35,40,5,2,2,20,20,44,TRUE,NA
35,41,6,2,2,20,20,44,TRUE,NA
35,42,7,2,2,20,20,44,TRUE,NA
35,43,8,2,2,20,20,44,TRUE,NA
35,44,9,2,2,20,20,44,TRUE,NA
35,45,10,2,2,20,20,44,TRUE,NA
35,46,11,2,2,20,20,44,TRUE,NA
35,47,12,2,2,20,20,44,TRUE,NA
35,48,13,2,2,20,20,44,TRUE,NA
35,49,14,2,2,20,20,44,TRUE,NA
35,50,15,2,2,20,20,44,TRUE,NA
35,51,16,2,2,20,20,44,TRUE,NA
35,52,17,2,2,20,20,44,TRUE,NA
35,53,18,2,2,20,20,44,TRUE,NA
35,54,19,2,2,20,20,44,TRUE,NA
35,55,20,2,2,20,20,44,TRUE,NA
35,56,21,2,1,20,20,43,TRUE,NA
35,57,22,2,1,20,20,43,TRUE,NA
35,58,23,2,1,20,20,43,TRUE,NA
35,59,24,2,1,20,20,43,TRUE,NA
35,60,25,2,1,20,20,43,TRUE,NA
40,40,0,2,2,20,20,44,TRUE,NA
40,41,1,2,2,20,20,44,TRUE,NA
40,42,2,2,2,20,20,44,TRUE,NA
40,43,3,2,2,20,20,44,TRUE,NA
40,44,4,2,2,20,20,44,TRUE,NA
40,45,5,2,2,20,20,44,TRUE,NA
40,46,6,2,2,20,20,44,TRUE,NA
40,47,7,2,2,20,20,44,TRUE,NA
40,48,8,2,2,20,20,44,TRUE,NA
40,49,9,2,2,20,20,44,TRUE,NA
40,50,10,2,2,20,20,44,TRUE,NA
40,51,11,2,2,20,20,44,TRUE,NA
40,52,12,2,2,20,20,44,TRUE,NA
40,53,13,2,2,20,20,44,TRUE,NA
40,54,14,2,2,20,20,44,TRUE,NA
40,55,15,2,2,20,20,44,TRUE,NA
40,56,16,2,1,20,20,43,TRUE,NA
40,57,17,2,1,20,20,43,TRUE,NA
40,58,18,2,1,20,20,43,TRUE,NA
40,59,19,2,1,20,20,43,TRUE,NA
40,60,20,2,1,20,20,43,TRUE,NA
