e,estimate,se,t_stat,p_value,lo,hi
-6,0.20114925217667842,0.11047462907399178,1.820773274938594,0.06878257023151715,-0.01537704201376694,0.4176755463671238
-5,0.18566969488587595,0.0978923971454406,1.896671246184961,0.05800747456694216,-0.006195877879479145,0.377535267651231
-4,0.07840889875365797,0.1421363999092923,0.5516454532666963,0.581249565480718,-0.20017332596073706,0.356991123468053
-3,0.1361785801077724,0.1321441115530737,1.030530823562867,0.30287872072121697,-0.12281911930529527,0.39517627952084006
-2,0.13703421951830974,0.08206578232816263,1.6698094581044836,0.09510504702874667,-0.023811758207992584,0.29788019724461207
0,0.009590662194372934,0.05827272864747207,0.1645823426665466,0.8692884574146261,-0.10462178723554774,0.12380311162429361
1,0.16179831265375869,0.05676833034098003,2.850150985274961,0.00441217906241393,0.05053442972296546,0.2730621955845519
2,0.13196733153101547,0.08966298000744896,1.471815140652831,0.1412195788997914,-0.043768880030119334,0.3077035430921503
3,0.10000775788456075,0.09774682383126591,1.0231305117105158,0.3063631500029274,-0.09157249642790184,0.29158801219702335
4,0.1666557888493565,0.09535212407163994,1.7477931453749755,0.08064496153603833,-0.02023094018045246,0.35354251787916546
5,0.12494243405744035,0.08744708311198118,1.4287776059659318,0.15321582836453682,-0.0464506993951235,0.2963355675100042
6,0.07987253553010772,0.1147355940264767,0.6961443500408087,0.4864149256981578,-0.14500509650659554,0.30475016756681095
