e,estimate,se,t_stat,p_value,lo,hi
-12,-0.022573130154906695,0.17272408451139118,-0.1306889552708441,0.8960348709768353,-0.3611061150598859,0.3159598547500725
-11,0.11549684685458415,0.08271285721948715,1.3963590515087791,0.1627655672282047,-0.046617374354014404,0.2776110680631827
-10,0.08714914638379126,0.05516073961680595,1.579912578932124,0.11428932120493204,-0.020963916625740098,0.19526220939332262
-9,0.0025013706914324705,0.06094254234982466,0.04104473812520011,0.9672644383478403,-0.11694381744053081,0.12194655882339575
-8,0.0662995206958715,0.07122945944674859,0.9307879241374458,0.35207867056992914,-0.07330765445801202,0.20590669584975502
-7,0.03442912015668001,0.058768771012074394,0.585840397268242,0.5580506741525424,-0.08075555444266731,0.14961379475602732
-6,0.09610793668397334,0.06754493574348061,1.42287405600574,0.15493286830004677,-0.03627770471132079,0.22849357807926746
-5,0.09023293699398958,0.06723373581752297,1.3420782869910435,0.179727091905937,-0.04154276375443604,0.2220086377424152
-4,-0.07117807592884107,0.1154194396044903,-0.6166905347378929,0.5375109656870336,-0.29739602066943793,0.1550398688117558
-3,0.09069941792214656,0.04917381321506264,1.844465824227844,0.06526710217888179,-0.0056794849618759385,0.18707832080616904
-2,0.03081364204659071,0.07001035822296582,0.4401297583488548,0.6598919837068171,-0.10640413861516987,0.16803142270835128
0,0.022413915228367453,0.044767692938121044,0.5006716620253023,0.6166588095408831,-0.06532915060129788,0.11015698105803279
1,0.11266467433268465,0.04542558040206324,2.4802032981303945,0.013214724335094635,0.023632172767812223,0.2016971758975571
2,0.06490895730531016,0.06810482985189419,0.9530742158297141,0.3406707730696744,-0.06857405637763075,0.19839197098825107
3,0.040803364536632775,0.08433293641425917,0.4838366392959331,0.6285562220589708,-0.12448615354582157,0.20609288261908712
4,0.08256254962409997,0.07670178316092982,1.0764097811242996,0.2818773875173619,-0.06777018292132321,0.23289528216952315
5,0.11777173478509852,0.08615753567392957,1.3669348114924682,0.1718035443088514,-0.05109393213252829,0.28663740170272534
6,0.12048883396667497,0.08555235215258722,1.4083637788447552,0.15918303709897924,-0.047190695045083705,0.2881683629784336
7,0.08571058033296873,0.07494476008334058,1.1436500729024452,0.252909377450551,-0.061178450260373815,0.23259961092631126
8,-0.27623773714868316,0.34675496621842045,-0.7966367148572615,0.42575917472469293,-0.9558649823971901,0.40338950809982377
9,0.04255910121043974,0.09849454215624596,0.43209603576740807,0.6657194636259691,-0.15048665408956435,0.23560485651044383
10,0.08906230548110802,0.09785014825095464,0.9101908078124871,0.362834554196099,-0.10272046097266799,0.28084507193488406
11,0.01767768759257321,0.11423184298459506,0.154752712822441,0.8770323115977505,-0.20621261054486748,0.2415679857300139
12,0.08316026183252997,0.10631957087414047,0.7821726625568669,0.4342082191616127,-0.125222267932539,0.29154279159759894
13,0.009917470209867559,0.13138167393180422,0.0754859480251057,0.9398358325013515,-0.24758587892505352,0.2674208193447886
14,0.09020306059756276,0.09466346333117154,0.9528814753163588,0.34076840595270763,-0.09533391818336144,0.27574003937848696
15,0.10334410519963447,0.09372940174879434,1.1025793750034665,0.27034613801747387,-0.08036214652048793,0.2870503569197569
16,0.0973514295359091,0.09897543815331283,0.9835918016863119,0.3254384654039345,-0.09663686459865554,0.2913397236704737
17,0.0986340215118868,0.0784594777137755,1.2571332920633138,0.2088561537987809,-0.05514372905293613,0.25241177207670973
18,0.11787912629367166,0.08732111141819064,1.3499499076361412,0.1771889672138861,-0.053267107175991216,0.28902535976333454
19,0.15664824594006546,0.08568093309149823,1.8282742762941389,0.06766133121297005,-0.011283297081057103,0.324579788961188
20,0.20759116067797653,0.07008902372112324,2.9618212618278097,0.0030952815268656835,0.07021919847300151,0.34496312288295156
21,0.19553016279086574,0.08362736881023224,2.338112098618863,0.01948220408777638,0.03162353180096239,0.3594367937807691
22,0.21961512510310024,0.07661252673394615,2.86656940405793,0.004194066525517083,0.06945733193995376,0.3697729182662467
23,0.21947676675722316,0.07644664105739431,2.870979858911594,0.004136239942551192,0.06964410354566938,0.3693094299687769
24,0.18863669282238693,0.09344518411322497,2.018688224679626,0.04365648529328915,0.0054874974317516145,0.3717858882130223
