state_abb,treatment_date,min_e,max_e,n_pre_periods,n_post_periods,has_12mo_pre,has_24mo_pre,has_36mo_pre
WV,2018-08-01,-31,85,31,86,TRUE,TRUE,FALSE
PA,2019-05-01,-40,76,40,77,TRUE,TRUE,TRUE
RI,2019-09-01,-44,3,44,4,TRUE,TRUE,TRUE
IN,2019-10-01,-45,71,45,72,TRUE,TRUE,TRUE
NH,2019-12-01,-12,48,12,49,TRUE,FALSE,FALSE
CO,2020-05-01,-16,42,16,43,TRUE,FALSE,FALSE
TN,2020-11-01,-58,58,58,59,TRUE,TRUE,TRUE
VA,2021-01-01,-60,56,60,57,TRUE,TRUE,TRUE
AZ,2021-09-01,-68,48,68,49,TRUE,TRUE,TRUE
CT,2021-10-01,-69,45,69,46,TRUE,TRUE,TRUE
LA,2022-01-01,-24,43,24,44,TRUE,TRUE,FALSE
NY,2022-01-01,-36,44,36,45,TRUE,TRUE,TRUE
AR,2022-03-01,-74,42,74,43,TRUE,TRUE,TRUE
KS,2022-09-01,-80,29,80,30,TRUE,TRUE,TRUE
OH,2023-01-01,-84,32,84,33,TRUE,TRUE,TRUE
MA,2023-03-01,-38,8,38,9,TRUE,TRUE,TRUE
