state_abb,pre_trend_slope,pre_trend_se,n_pre_obs,mean_resid,treatment_date,pre_trend_tstat,pre_trend_pval,significant
LA,0.05626919856291385,0.028514955239866576,12,-0.12760555609788954,2022-01-01,1.973322352764708,0.07671969950330322,FALSE
MA,0.04778354470447678,0.011424773491949702,12,0.12858690914121246,2023-03-01,4.182450071167429,0.0018803743594285763,TRUE
KS,-0.02862664508271134,0.008136521594838414,12,-0.12776721761872234,2022-09-01,-3.5182903098138767,0.005554257687601244,TRUE
WV,-0.026651301744116316,0.01080259322138739,12,0.07217632131487028,2018-08-01,-2.4671207364682624,0.03326845278277395,TRUE
CO,-0.025911161887823057,0.017860131112794168,12,-0.014666970983064243,2020-05-01,-1.4507822884492436,0.17747452257830104,FALSE
AZ,-0.017444512392668206,0.013524127998172205,12,-0.021263159019795287,2021-09-01,-1.2898807520178635,0.22612284370700986,FALSE
RI,-0.01617567731811024,0.005359279381346097,12,-0.03923635234523267,2019-09-01,-3.0182560316621103,0.012933928220629052,TRUE
AR,-0.01609100495769154,0.008003028614431067,12,0.08618623198782052,2022-03-01,-2.0106144477199828,0.07210075152626422,FALSE
NY,0.015516231146503,0.008971520535469912,12,-0.0569957925090873,2022-01-01,1.7294984819081496,0.1144074799936002,FALSE
PA,0.014785850299114818,0.00845957897366891,12,0.05392263800904806,2019-05-01,1.747823425389953,0.11107126895684373,FALSE
VA,-0.01325486191735115,0.006785953653111019,12,0.08514178086467225,2021-01-01,-1.9532791697264924,0.07931581534263202,FALSE
CT,0.009274010899943988,0.031944607932849964,12,-0.4014343521986743,2021-10-01,0.2903153771503058,0.7775062000292443,FALSE
OH,-0.0030802499359907838,0.0022383847655357844,12,-0.07528675953494417,2023-01-01,-1.376103868922414,0.19882169065836997,FALSE
IN,0.0019099993777145967,0.002582769618271037,12,-0.00953500248726365,2019-10-01,0.7395159692923724,0.47659494333741814,FALSE
TN,9.488206023462078e-4,0.004555234710821614,12,-0.023046456337953103,2020-11-01,0.208292363089908,0.8391818903426842,FALSE
NH,9.274467134550994e-5,0.0030342711709389187,12,0.06505995715274038,2019-12-01,0.03056571615410735,0.9762173206548093,FALSE
