e,treated,y_mean,y_se,n_states,ci_lo,ci_hi,group
-24,TRUE,7.594660205029843,0.45089310807742283,14,6.710909713198094,8.47841069686159,Treated States
-23,TRUE,7.460737865189163,0.45912929044805023,14,6.560844455910985,8.360631274467341,Treated States
-22,TRUE,7.321251195041464,0.473451686684759,14,6.393285889139336,8.249216500943591,Treated States
-21,TRUE,6.474237508149919,0.7395828755054847,14,5.0246550721591685,7.92381994414067,Treated States
-20,TRUE,6.482412467751509,0.7262947098177958,14,5.058874836508629,7.9059500989943885,Treated States
-19,TRUE,7.001905273177628,0.4704751770891022,14,6.0797739260829875,7.924036620272268,Treated States
-18,TRUE,7.122475786929847,0.45755521909352315,14,6.225667557506542,8.019284016353152,Treated States
-17,TRUE,6.944502854757907,0.5629965908882323,14,5.841029536616972,8.047976172898842,Treated States
-16,TRUE,7.09343475595329,0.5328487315793536,15,6.049051242057757,8.137818269848824,Treated States
-15,TRUE,7.343441919215054,0.4184383842475137,15,6.523302686089927,8.16358115234018,Treated States
-14,TRUE,7.3012021533034686,0.42592271014458866,15,6.4663936414200744,8.136010665186863,Treated States
-13,TRUE,7.306812366537704,0.4112263773772723,15,6.5008086668782505,8.112816066197158,Treated States
-12,TRUE,7.0828412419404785,0.40093534227040745,16,6.29700797109048,7.868674512790477,Treated States
-11,TRUE,7.213449434265309,0.35120250694465044,16,6.525092520653794,7.901806347876824,Treated States
-10,TRUE,7.254078659869534,0.3439022564387514,16,6.580030237249582,7.928127082489486,Treated States
-9,TRUE,7.114477780796028,0.3542492780434072,16,6.42014919583095,7.8088063657611055,Treated States
-8,TRUE,7.176651073293219,0.321096444362367,16,6.54730204234298,7.806000104243458,Treated States
-7,TRUE,7.130907225034689,0.31569586740374206,16,6.512143324923355,7.7496711251460235,Treated States
-6,TRUE,7.236623418825016,0.31247758388773544,16,6.6241673544050546,7.849079483244978,Treated States
-5,TRUE,7.308224018899435,0.31504283434066516,16,6.690740063591731,7.925707974207139,Treated States
-4,TRUE,7.266872303913236,0.3401666623662403,16,6.600145645675405,7.933598962151067,Treated States
-3,TRUE,7.375149766233363,0.3241165446309109,16,6.739881338756778,8.010418193709949,Treated States
-2,TRUE,7.337311979171281,0.2918966328134869,16,6.765194578856846,7.909429379485715,Treated States
-1,TRUE,7.0961049155905584,0.3336812617852486,16,6.442089642491471,7.750120188689646,Treated States
0,TRUE,7.186283321859223,0.3341210465772583,16,6.531406070567797,7.841160573150649,Treated States
1,TRUE,7.344811936421051,0.3031154623863088,16,6.7507056301438855,7.938918242698216,Treated States
2,TRUE,7.3673829476803,0.3116639420617434,16,6.7565216212392825,7.978244274121317,Treated States
3,TRUE,7.302547069886432,0.32622253821557295,16,6.663150894983909,7.9419432447889555,Treated States
4,TRUE,7.271613617597091,0.42101900502215495,15,6.446416367753668,8.096810867440515,Treated States
5,TRUE,7.3069927834154775,0.3847188223387173,15,6.552943891631592,8.061041675199363,Treated States
6,TRUE,7.131836960820936,0.3783033797355184,15,6.3903623365393205,7.873311585102552,Treated States
7,TRUE,7.288052785951923,0.3343440799993193,15,6.632738389153257,7.943367182750588,Treated States
8,TRUE,7.186781033302427,0.44734335702133576,15,6.309988053540609,8.063574013064246,Treated States
9,TRUE,7.478709938591125,0.33485272546329264,14,6.822398596683072,8.13502128049918,Treated States
10,TRUE,7.544830786693732,0.34001878572650684,14,6.878393966669778,8.211267606717685,Treated States
11,TRUE,7.272673677876117,0.3673815017788772,14,6.5526059343895176,7.992741421362717,Treated States
12,TRUE,7.2647019890088185,0.36998637004745577,14,6.539528703715805,7.9898752743018315,Treated States
13,TRUE,7.356482856683278,0.3426905388555292,14,6.684809400526441,8.028156312840116,Treated States
14,TRUE,7.425830662046036,0.34846028636766246,14,6.742848500765418,8.108812823326655,Treated States
15,TRUE,7.479230889267227,0.3342267248762433,14,6.8241465085097905,8.134315270024665,Treated States
16,TRUE,7.621648779023101,0.36219282255772467,14,6.91175084680996,8.331546711236241,Treated States
17,TRUE,7.646123810254073,0.343366532464504,14,6.973125406623645,8.319122213884501,Treated States
18,TRUE,7.604345165865354,0.359003882993808,14,6.90069755519749,8.307992776533217,Treated States
19,TRUE,7.6226311263674535,0.3714223390882789,14,6.894643341754427,8.35061891098048,Treated States
20,TRUE,7.481422009756157,0.4442712834192266,14,6.610650294254473,8.352193725257841,Treated States
21,TRUE,7.6678204718143546,0.3625041923674853,14,6.9573122547740835,8.378328688854626,Treated States
22,TRUE,7.698684513677231,0.35356181906096446,14,7.0057033483177404,8.391665679036722,Treated States
23,TRUE,7.693859052884863,0.34731466902449415,14,7.013122301596855,8.374595804172872,Treated States
24,TRUE,7.674834613378518,0.3687967522877616,14,6.951992978894506,8.397676247862531,Treated States
