n_dropped,dropped,att,se,n_states,n_obs
0,,-0.04721706804299359,0.14255538783146524,24,2592
1,VA,0.012026363298534145,0.13680407738634365,23,2484
2,"VA,NY",0.07955286579434885,0.12700545455100165,22,2376
3,"VA,NY,TX",0.13812785086243412,0.11579695410590411,21,2268
4,"VA,NY,TX,ID",0.2045709253703017,0.09114192015258202,20,2160
5,"VA,NY,TX,ID,AR",0.16609444962238293,0.08866529350011094,19,2052
6,"VA,NY,TX,ID,AR,FL",0.13331373835537216,0.08098574860326786,18,1944
7,"VA,NY,TX,ID,AR,FL,MN",0.10044672114022457,0.0757837620934787,17,1836
8,"VA,NY,TX,ID,AR,FL,MN,AZ",0.06513341625646239,0.07488988982727107,16,1728
9,"VA,NY,TX,ID,AR,FL,MN,AZ,TN",0.02360445213569827,0.07115445462697942,15,1620
10,"VA,NY,TX,ID,AR,FL,MN,AZ,TN,KS",-0.017061278923693236,0.0719161442953212,14,1512
