state_abb,treated,n_remaining,n_obs_state,n_post_obs,mean_y,twfe_att_loo,twfe_se_loo,sa_att_post_loo,twfe_influence,twfe_pct_change,sa_influence,sa_pct_change
VA,TRUE,23,108,48,9.700913014469034,0.012026363298534145,0.13680407738634365,-0.1751388424769038,-0.059243431341527736,-125.47037289054781,0.03550848051360608,25.43034338258007
NY,TRUE,23,108,66,9.432275133653167,0.011168842820608295,0.1383332827859528,-0.12047803471783225,-0.058385910863601884,-123.6542489475172,-0.019152327245465478,-13.716448898485076
TX,FALSE,23,108,0,9.529105641673315,0.009215914393410197,0.13337778956757618,-0.07154137576509402,-0.05643298243640379,-119.51818436718398,-0.06808898619820371,-48.763739662940296
ID,FALSE,23,108,0,5.149169080451741,0.006714046245465633,0.133521189211233,-0.12457656532343997,-0.053931114288459224,-114.21953230842743,-0.015053796639857758,-10.781177122361607
AR,TRUE,23,108,66,6.262566230173701,-0.09216592885789539,0.14251686795530139,-0.1960532075720331,0.0449488608149018,95.19621331416329,0.05642284560873537,40.40872258396515
FL,FALSE,23,108,0,8.680665182700292,-0.08332312736630301,0.141585709548996,-0.18688848733459484,0.036106059323309424,76.46823663517816,0.047258125371297116,33.8451642657197
MN,FALSE,23,108,0,7.343190888319025,-0.0814056520032654,0.14329255773539434,-0.17104782513079858,0.03418858396027181,72.40725732724728,0.03141746316750085,22.500452427215674
AZ,TRUE,23,108,40,9.02253040798704,-0.08083456315159562,0.14683282659332836,-0.15713262957295365,0.033617495108602034,71.19776068685917,0.017502267609655925,12.53471477375132
TN,TRUE,23,108,50,8.614018944283751,-0.07959102638315127,0.14693577776228037,-0.12427884992639213,0.03237395834015768,68.56410124974197,-0.015351512036905601,-10.99439392769088
KS,TRUE,23,108,28,5.15934788019395,-0.07276691095083263,0.14885043449777496,-0.15211697057216464,0.025549842907839036,54.11145580783326,0.012486608608866911,8.942617087928953
PA,TRUE,23,108,74,9.52745458195845,-0.025273977117686024,0.14885240812945943,-0.10000121751561335,-0.021943090925307565,-46.47279434065504,-0.03962914444768438,-28.38146653096912
MT,TRUE,23,108,58,5.08465745587919,-0.06568505703754743,0.15093798937419622,-0.17571900773648852,0.01846798899455384,39.112951650741586,0.03608864577319079,25.845844174404423
DE,TRUE,23,108,79,7.436438651315777,-0.02893883904819664,0.14931858431473358,-0.03192833428742974,-0.01827822899479695,-38.71106308031171,-0.10770202767586798,-77.1336736233469
IN,TRUE,23,108,64,9.100608135258037,-0.03340636463300589,0.1504480577028192,-0.11193532963522199,-0.013810703409987697,-29.249387948892412,-0.02769503232807574,-19.83453450858737
AK,FALSE,23,108,0,5.160756309268808,-0.06051270405906616,0.14646164958708097,-0.14206691896989937,0.013295636016072573,28.15853793371119,0.0024365570066016418,1.7450051495548642
KY,FALSE,23,108,0,7.904064575339854,-0.05633255900687851,0.1472084941136726,-0.1525285468038602,0.00911549096388492,19.305499773058322,0.01289818484056246,9.237378360411892
CT,TRUE,23,108,39,7.329635176104251,-0.05621495598773833,0.15078144668555607,-0.1327050635326077,0.008997887944744744,19.056430900266193,-0.006925298430690036,-4.9597367888442285
GA,FALSE,23,108,0,7.574385298696728,-0.055787728122833384,0.14685209549538056,-0.15144139821897076,0.008570660079839795,18.151614310392517,0.011811036255673035,8.458787966744369
UT,FALSE,23,108,0,6.265596491759158,-0.05445226770145537,0.14684682480691913,-0.13401092660829245,0.007235199658461783,15.32327177086421,-0.005619435355005281,-4.02450819147942
VT,FALSE,23,108,0,4.755124926129022,-0.05315456618608244,0.14744970899371304,-0.13098063490347808,0.005937498143088853,12.574897995958692,-0.008649727059819645,-6.194732247484435
ND,TRUE,23,108,43,5.401680535663109,-0.04962283488319762,0.1507247139734079,-0.12853950172342715,0.002405766840204028,5.095121192221111,-0.011090860239870576,-7.943014745450451
OH,TRUE,23,108,24,8.207835070924544,-0.04958940460278221,0.15109421083672747,-0.13968370109166608,0.002372336559788621,5.024319929455352,5.333912836835708e-5,0.03820023640873855
OK,FALSE,23,108,0,8.14176542850667,-0.0455123010280669,0.14702441530437138,-0.13122094054273042,-0.0017047670149266878,-3.610488930346986,-0.008409421420567303,-6.022630968168475
WV,TRUE,23,108,77,6.933978874829876,-0.04786581934476496,0.15031073233787892,-0.18207879690941328,6.487513017713678e-4,1.3739762519363679,0.042448434946115554,30.400576457198657
