state_abb,mean_pre,mean_post,raw_diff,n_pre,n_post,treat_start
VA,10.030654346853007,9.288736348989069,-0.7419179978639381,60,48,2021-01-01
DE,7.971374496492353,7.240069796757287,-0.7313046997350661,29,79,2018-06-01
NY,9.878568290394767,9.148270397544875,-0.730297892849892,42,66,2019-07-01
PA,9.952728843342374,9.332058299700972,-0.6206705436414026,34,74,2018-11-01
IN,9.400093182776756,8.894712165088919,-0.5053810176878368,44,64,2019-09-01
WV,7.094628642605705,6.869301695595452,-0.22532694701025324,31,77,2018-08-01
MT,5.162104401369309,5.017892847698055,-0.14421155367125404,50,58,2020-03-01
CT,7.286446896173643,7.406045209827634,0.11959831365399154,69,39,2021-10-01
ND,5.261896502443712,5.612981981227316,0.3510854787836042,65,43,2021-06-01
AR,6.04476843391421,6.401164827793377,0.3563963938791668,42,66,2019-07-01
KS,5.0490567906958175,5.474465278760042,0.4254084880642246,80,28,2022-09-01
TN,8.397542428218651,8.865131702919266,0.4675892747006145,58,50,2020-11-01
OH,8.063548563759811,8.712837846001106,0.6492892822412948,84,24,2023-01-01
AZ,8.740047113161202,9.502752009190964,0.7627048960297618,68,40,2021-09-01
