n_dropped,dropped,att,se,n_states,n_obs
0,,0.23663973240015126,0.0811392978009035,27,1107
1,OH,0.31936898141410963,0.050513419238378016,26,1066
2,"OH,KS",0.3005825340871556,0.09690634091462116,25,1025
3,"OH,KS,DE",0.27820211305738596,0.0955070059464302,24,984
4,"OH,KS,DE,IN",0.2563644650243002,0.09427800937805518,23,943
5,"OH,KS,DE,IN,NY",0.29129185012957864,0.08676118954574336,22,902
6,"OH,KS,DE,IN,NY,MN",0.2977861060090062,0.08633667566662256,21,861
7,"OH,KS,DE,IN,NY,MN,PA",0.2856926078354641,0.08616583675165938,20,820
8,"OH,KS,DE,IN,NY,MN,PA,LA",0.23630767142272052,0.12454997091742158,19,779
9,"OH,KS,DE,IN,NY,MN,PA,LA,CT",0.4910572006412846,0.04655956865717274,18,738
10,"OH,KS,DE,IN,NY,MN,PA,LA,CT,ND",0.49067161211240296,0.049639762357633226,17,697
