state_abb,treated,n_remaining,n_obs_state,n_post_obs,mean_y,twfe_att_loo,twfe_se_loo,sa_att_post_loo,twfe_influence,twfe_pct_change,sa_influence,sa_pct_change
OH,TRUE,26,41,24,8.662090880378168,0.31936898141410963,0.050513419238378016,-0.09201942581425625,-0.08272924901395837,-34.95999939438128,0.008220398866905995,9.80965909314288
KS,TRUE,26,41,28,5.350172329666376,0.18482185177441138,0.07302099737628735,-0.20569510273644956,0.05181788062573989,21.89737120650444,0.1218960757890993,145.46240001770533
DE,TRUE,26,41,41,7.171279943274389,0.2133631608811466,0.07965398346699665,-0.10855276681114939,0.02327657151900467,9.83629050071973,0.02475373986379914,29.539412049917438
IN,TRUE,26,41,41,8.976780622596252,0.21388984694302526,0.08000745300613088,-0.108309642615195,0.022749885457126,9.61372176446539,0.02451061566784475,29.249284342220854
NY,TRUE,26,41,41,9.615123059571115,0.2559760262849653,0.08143383808492993,-0.0531083427823721,-0.019336293884814032,-8.171194958975398,-0.030690684164978152,-36.62415338576744
MN,FALSE,26,41,0,7.431825120648552,0.2184958703138698,0.08356176087773315,-0.10067326231869692,0.018143862086281465,7.667293189632541,0.016874235371346663,20.136552876620524
PA,TRUE,26,41,41,9.396973793742921,0.21897812991549653,0.08191359640632881,-0.10062476960735336,0.01766160248465473,7.463498333741119,0.016825742660003112,20.07868500737424
LA,TRUE,26,41,38,6.1131838780038334,0.22265964104256483,0.08664138666315262,-3.097945981140483e-4,0.013980091357586433,5.907753197568058,-0.0834892323492362,-99.63031241602759
CT,TRUE,26,41,39,7.390565717129678,0.2251344400733608,0.09060124315968157,-0.029821567304957664,0.011505292326790456,4.861944446140313,-0.05397745964239259,-64.41299094833866
ND,TRUE,26,41,41,5.627628294585625,0.2465732377437493,0.08129472752269055,-0.07595854140384599,-0.009933505343598048,-4.1977335094348245,-0.007840485543504264,-9.356296641046118
FL,FALSE,26,41,0,8.47217500200513,0.22690614175965365,0.08254365241174301,-0.09636731338163583,0.009733590640497614,4.113252893659625,0.012568286434285578,14.99812932455893
ID,FALSE,26,41,0,5.5234789325268165,0.24585200622583697,0.08082188834960613,-0.07626047618164587,-0.009212273825685707,-3.892953111571309,-0.00753855076570438,-8.995988426501354
MT,TRUE,26,41,41,5.1400276793821655,0.2457094649502592,0.08111741281536784,-0.0720064996152012,-0.009069732550107928,-3.8327175483664173,-0.011792527332149055,-14.07239172306635
WV,TRUE,26,41,41,6.896993951582376,0.2441638543653973,0.08038266390795142,-0.07611191676546841,-0.0075241219652460445,-3.17956832055699,-0.00768711018188184,-9.173269024605194
TX,FALSE,26,41,0,10.110328416904606,0.2431746762170556,0.08288674974224795,-0.07687169049476136,-0.006534943816904337,-2.7615581502830335,-0.006927336452588889,-8.266607268532171
AK,FALSE,26,41,0,5.150722632588971,0.24313929539913515,0.08192582359915218,-0.08587718517258792,-0.006499562998983882,-2.7466068073442966,0.0020781582252376724,2.4799312127375295
TN,TRUE,26,41,41,8.969832831205677,0.24203107690539905,0.08243272311602805,-0.07973518855036936,-0.00539134450524778,-2.2782921745918667,-0.004063838396980893,-4.849505471625757
VT,FALSE,26,41,0,4.925047952250626,0.2414609685914771,0.08095336564667567,-0.0813015526770447,-0.004821236191325823,-2.0373739195974263,-0.0024974742703055552,-2.9803141650734
UT,FALSE,26,41,0,6.293439987140621,0.24140817610822088,0.08224956847447429,-0.08166455219173373,-0.004768443708069614,-2.01506469759115,-0.002134474755616525,-2.5471354899593113
SC,FALSE,26,41,0,9.37247952995663,0.24128202074658528,0.08214000260988115,-0.08056473185749817,-0.004642288346434015,-1.9617535480407124,-0.0032342950898520823,-3.8595854960036045
VA,TRUE,26,41,41,9.389316681434595,0.23942521282479914,0.08519268545842934,-0.07872698095266363,-0.0027854804246478793,-1.177097521365393,-0.005072045994686622,-6.052631133620821
OK,FALSE,26,41,0,8.253253612021462,0.23942008755471747,0.08234295359169098,-0.08152328275748269,-0.0027803551545662053,-1.1749316677998525,-0.0022757441898675623,-2.715716724607531
GA,FALSE,26,41,0,7.623749422851117,0.23902989923484017,0.08256292461182302,-0.08470496888496333,-0.0023901668346889005,-1.0100445983632176,9.059419376130778e-4,1.0810888510462877
AR,TRUE,26,41,41,6.583881007248446,0.23871087821084033,0.08204853970895017,-0.09249854113050351,-0.002071145810689068,-0.875231639962649,0.008699514183153262,10.381402386234203
NV,FALSE,26,41,0,8.393815078970961,0.23542501358047727,0.08277972420186999,-0.08699375824987611,0.0012147188196739989,0.5133198923754456,0.003194731302525858,3.812372791074367
AZ,TRUE,26,41,40,9.485113117646884,0.2377793340866411,0.08414398708559846,-0.07962293021426192,-0.0011396016864898273,-0.4815766460396398,-0.00417609673308833,-4.98346685542317
KY,FALSE,26,41,0,8.0406325109589325,0.237738826426452,0.08202037182200875,-0.08652115265115173,-0.0010990940263007343,-0.46445878515540095,0.0027221257038014812,3.2483977475200927
