state_abb,mean_pre,mean_post,raw_diff,n_pre,n_post,treat_start
OH,8.59044810538108,8.712837846001106,0.12238974062002583,17,24,2023-01-01
CT,7.088715609519538,7.406045209827634,0.31732960030809654,2,39,2021-10-01
KS,5.082464439310787,5.474465278760042,0.39200083944925534,13,28,2022-09-01
LA,5.592716961019974,6.1542733714499285,0.5615564104299544,3,38,2021-11-01
AZ,8.779557455883728,9.502752009190964,0.7231945533072359,1,40,2021-09-01
AR,NA,NA,NA,0,0,NA
DE,NA,NA,NA,0,0,NA
IN,NA,NA,NA,0,0,NA
MT,NA,NA,NA,0,0,NA
ND,NA,NA,NA,0,0,NA
NY,NA,NA,NA,0,0,NA
PA,NA,NA,NA,0,0,NA
TN,NA,NA,NA,0,0,NA
VA,NA,NA,NA,0,0,NA
WV,NA,NA,NA,0,0,NA
