n_dropped,dropped,att,se,n_states,n_obs
0,,-0.10480819893669188,0.05734009956510365,26,1300
1,ID,-0.06123082217377264,0.03678770876283584,25,1250
2,"ID,AR",-0.08024677254226284,0.03246945279716683,24,1200
3,"ID,AR,CT",-0.06400952549713311,0.029703732974288768,23,1150
4,"ID,AR,CT,AK",-0.07186774235103109,0.030078097926140086,22,1100
5,"ID,AR,CT,AK,FL",-0.08014266735505089,0.030560861325164244,21,1050
6,"ID,AR,CT,AK,FL,NY",-0.0676036036612304,0.029007487124520982,20,1000
7,"ID,AR,CT,AK,FL,NY,ND",-0.050617484873190025,0.024809559261538567,19,950
8,"ID,AR,CT,AK,FL,NY,ND,VA",-0.05833187602179425,0.025104460310506078,18,900
9,"ID,AR,CT,AK,FL,NY,ND,VA,WV",-0.052141103180470605,0.025414205560866012,17,850
10,"ID,AR,CT,AK,FL,NY,ND,VA,WV,MT",-0.06034229045025617,0.02581714688440727,16,800
