state_abb,mean_pre,mean_post,raw_diff,n_pre,n_post,treat_start
WV,7.094628642605705,7.074322710663106,-0.02030593194259911,31,19,2018-08-01
NY,9.878568290394767,9.861074067467309,-0.017494222927458836,42,8,2019-07-01
PA,9.952728843342374,9.938022523803292,-0.014706319539081747,34,16,2018-11-01
IN,9.400093182776756,9.416703029447,0.01660984667024401,44,6,2019-09-01
DE,7.971374496492353,7.996068483111794,0.024693986619441333,29,21,2018-06-01
MS,5.765354732269229,5.7923398098957595,0.026985077626530796,31,19,2018-08-01
AR,6.04476843391421,6.309249811709535,0.26448137779532477,42,8,2019-07-01
AZ,NA,NA,NA,0,0,NA
CT,NA,NA,NA,0,0,NA
KS,NA,NA,NA,0,0,NA
MT,NA,NA,NA,0,0,NA
NC,NA,NA,NA,0,0,NA
ND,NA,NA,NA,0,0,NA
OH,NA,NA,NA,0,0,NA
TN,NA,NA,NA,0,0,NA
VA,NA,NA,NA,0,0,NA
