"","option","panel_choice","estimand","target_h","effect_size","power","mean_est","mean_se","n_sims","n_units","n_clusters","n_switchers","start_date","end_date","n_states"
"1","A1","counties","overall_att",NA,0,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"2","A1","counties","overall_att",NA,0.25,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"3","A1","counties","overall_att",NA,0.5,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"4","A1","counties","overall_att",NA,0.75,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"5","A1","counties","overall_att",NA,1,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"6","A1","counties","overall_att",NA,1.25,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"7","A1","counties","overall_att",NA,1.5,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"8","A1","counties","overall_att",NA,2,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"9","A1","counties","overall_att",NA,2.5,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"10","A1","counties","overall_att",NA,3,NA,NA,NA,1000,471,10,3,2016-01-01,2025-09-01,10
"11","A1","counties","overall_att",NA,0,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"12","A1","counties","overall_att",NA,0.25,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"13","A1","counties","overall_att",NA,0.5,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"14","A1","counties","overall_att",NA,0.75,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"15","A1","counties","overall_att",NA,1,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"16","A1","counties","overall_att",NA,1.25,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"17","A1","counties","overall_att",NA,1.5,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"18","A1","counties","overall_att",NA,2,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"19","A1","counties","overall_att",NA,2.5,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"20","A1","counties","overall_att",NA,3,NA,NA,NA,1000,410,10,5,2016-01-01,2025-09-01,10
"21","A1","counties","overall_att",NA,0,NA,NA,NA,1000,399,10,8,2016-01-01,2025-09-01,10
"22","A1","counties","overall_att",NA,0.25,NA,NA,NA,1000,399,10,8,2016-01-01,2025-09-01,10
"23","A1","counties","overall_att",NA,0.5,NA,NA,NA,1000,399,10,8,2016-01-01,2025-09-01,10
"24","A1","counties","overall_att",NA,0.75,NA,NA,NA,1000,399,10,8,2016-01-01,2025-09-01,10
