option,panel_choice,estimand,target_h,effect_size,power,mean_est,mean_se,sign_error_rate_sig,severe_mag_error_rate_sig,mean_exaggeration_ratio_sig,n_sims,n_units,n_clusters,start_date,end_date
A1,counties,overall_att,NA,0,0,-0.10922005620009377,1.532011586887784,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,0.25,0,0.06937671771779703,1.407315943065489,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,0.5,0.02,0.15081004562192651,1.6578919776395704,0,0,1.5145113304123072,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,0.75,0,0.2691140246817954,1.586672666835156,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,1,0,0.42292700368976244,1.6732333651088085,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,1.25,0,0.3418780711882597,1.807307982819868,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,1.5,0.02,0.45505251102206645,1.4034060813241818,0,0,1.360164466946089,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,2,0.02,0.6718908795639621,1.719454493323531,0,0,0.7108645941994374,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,2.5,0.08,0.8862014318981466,1.5531698358868695,0,0,0.6685264249530413,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,3,0.06,1.133758847248069,1.923672968104931,0,0,0.39628596669570026,50,659,25,2016-01-01,2025-09-01
