option,panel_choice,estimand,target_h,effect_size,power,mean_est,mean_se,n_sims,n_units,n_clusters,n_switchers,start_date,end_date,n_states
A1,states_from_counties,overall_att,NA,0,1,-0.3267834815945371,0.0062494303206886235,2,10,10,3,2016-01-01,2025-09-01,10
A1,states_from_counties,overall_att,NA,1,1,0.6046106654416495,0.05292799699679538,2,10,10,3,2016-01-01,2025-09-01,10
A1,states_from_counties,overall_att,NA,0,1,-0.05415542314582872,0.1534349799806311,2,10,10,5,2016-01-01,2025-09-01,10
A1,states_from_counties,overall_att,NA,1,0.5,0.8220342632834252,0.2976220341828066,2,10,10,5,2016-01-01,2025-09-01,10
A1,states_from_counties,overall_att,NA,0,0.5,0.21069519550312749,0.09268002193629311,2,12,12,3,2016-01-01,2025-09-01,12
A1,states_from_counties,overall_att,NA,1,0,-0.5983020140783448,0.21519848623195476,2,12,12,3,2016-01-01,2025-09-01,12
A1,states_from_counties,overall_att,NA,0,0,0.12543798976443266,0.24639134109236413,2,12,12,5,2016-01-01,2025-09-01,12
A1,states_from_counties,overall_att,NA,1,1,1.2229481000426214,0.08214780531516498,2,12,12,5,2016-01-01,2025-09-01,12
A2,states_from_counties,overall_att,NA,0,0,-0.04764767243646944,0.086436950902699,2,10,10,3,2016-01-01,2025-09-01,10
A2,states_from_counties,overall_att,NA,1,1,0.25528400337895074,0.041036650905715864,2,10,10,3,2016-01-01,2025-09-01,10
A2,states_from_counties,overall_att,NA,0,0.5,0.31500789099676196,0.14506969675373102,2,10,10,5,2016-01-01,2025-09-01,10
A2,states_from_counties,overall_att,NA,1,1,0.13985535043169012,0.07855337227860304,2,10,10,5,2016-01-01,2025-09-01,10
A2,states_from_counties,overall_att,NA,0,0,0.12298429654829024,0.10545694355098832,2,12,12,3,2016-01-01,2025-09-01,12
A2,states_from_counties,overall_att,NA,1,1,-0.2968599375300973,0.06640238151302076,2,12,12,3,2016-01-01,2025-09-01,12
A2,states_from_counties,overall_att,NA,0,1,-0.6974137161716283,0.06719419912856067,2,12,12,5,2016-01-01,2025-09-01,12
A2,states_from_counties,overall_att,NA,1,0.5,0.17055578809842226,0.07918158303831677,2,12,12,5,2016-01-01,2025-09-01,12
