option,panel_choice,estimand,target_h,effect_size,power,mean_est,mean_se,sign_error_rate_sig,severe_mag_error_rate_sig,mean_exaggeration_ratio_sig,n_sims,n_units,n_clusters,start_date,end_date
A1,counties,overall_att,NA,0,0,-0.10922005620009377,1.532011586887784,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,0.25,0,0.06937671771779703,1.407315943065489,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,0.5,0.02,0.15081004562192651,1.6578919776395704,0,0,1.5145113304123072,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,0.75,0,0.2691140246817954,1.586672666835156,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,1,0,0.42292700368976244,1.6732333651088085,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,1.25,0,0.3418780711882597,1.807307982819868,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,1.5,0.02,0.45505251102206645,1.4034060813241818,0,0,1.360164466946089,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,2,0.02,0.6718908795639621,1.719454493323531,0,0,0.7108645941994374,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,2.5,0.08,0.8862014318981466,1.5531698358868695,0,0,0.6685264249530413,50,659,25,2016-01-01,2025-09-01
A1,counties,overall_att,NA,3,0.06,1.133758847248069,1.923672968104931,0,0,0.39628596669570026,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,0,0,-0.16736702877650328,1.2069112559308302,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,0.25,0.02,0.02299521595172025,1.4872565234681023,1,1,5.556382224031508,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,0.5,0.02,0.2530759907873656,1.4920160203973998,0,1,2.748129369804264,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,0.75,0,0.23215478056261232,1.4963864485370797,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,1,0.04,0.3049829949985913,1.366036231304238,0,0,0.5324869087163802,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,1.25,0.02,0.45693699425722933,1.8147670451081623,0,0,0.6023178077559899,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,1.5,0.02,0.5081549921216773,1.4939966290259556,0,0,0.8665485254311504,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,2,0,0.6072138150255492,1.3472397696925584,NA,NA,NA,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,2.5,0.02,0.889096131890875,1.7750832885292616,0,0,0.5645954657972264,50,659,25,2016-01-01,2025-09-01
A2,counties,overall_att,NA,3,0.08,1.1310567181238393,1.5225396612000446,0,0,0.4712497691027095,50,659,25,2016-01-01,2025-09-01
