ts,effect_pct,effect_log,batch_lo,batch_hi,n_done,n_sims,ok_cum,fail_cum,fail_rate_cum,power_so_far,mean_se_so_far
2026-01-10 15:45:46,0,0,1,50,50,2000,50,0,0,0.04,0.025220406813643067
2026-01-10 15:45:48,0,0,51,100,100,2000,100,0,0,0.02,0.025438231165936166
2026-01-10 15:45:50,0,0,101,150,150,2000,150,0,0,0.02,0.025654199286235135
2026-01-10 15:45:52,0,0,151,200,200,2000,200,0,0,0.035,0.02555677072316216
2026-01-10 15:45:53,0,0,201,250,250,2000,250,0,0,0.036,0.02570273078763914
2026-01-10 15:45:55,0,0,251,300,300,2000,300,0,0,0.04,0.02572927182971539
2026-01-10 15:45:57,0,0,301,350,350,2000,350,0,0,0.04,0.025606619380928647
2026-01-10 15:45:59,0,0,351,400,400,2000,400,0,0,0.04,0.025674695931651205
2026-01-10 15:46:01,0,0,401,450,450,2000,450,0,0,0.04666666666666667,0.02576216261035327
2026-01-10 15:46:03,0,0,451,500,500,2000,500,0,0,0.046,0.025691581542352432
2026-01-10 15:46:05,0,0,501,550,550,2000,550,0,0,0.045454545454545456,0.025725758101540347
2026-01-10 15:46:06,0,0,551,600,600,2000,600,0,0,0.043333333333333335,0.025795589281782882
2026-01-10 15:46:08,0,0,601,650,650,2000,650,0,0,0.04461538461538461,0.025825721131148345
2026-01-10 15:46:10,0,0,651,700,700,2000,700,0,0,0.04285714285714286,0.025792760675407856
2026-01-10 15:46:12,0,0,701,750,750,2000,750,0,0,0.044,0.025831259837204423
2026-01-10 15:46:13,0,0,751,800,800,2000,800,0,0,0.04375,0.02585391051213792
2026-01-10 15:46:15,0,0,801,850,850,2000,850,0,0,0.04470588235294118,0.02586394197554106
2026-01-10 15:46:17,0,0,851,900,900,2000,900,0,0,0.043333333333333335,0.025864630140704805
2026-01-10 15:46:19,0,0,901,950,950,2000,950,0,0,0.042105263157894736,0.025857413292455843
2026-01-10 15:46:21,0,0,951,1000,1000,2000,1000,0,0,0.043,0.025880189922962035
2026-01-10 15:46:23,0,0,1001,1050,1050,2000,1050,0,0,0.04476190476190476,0.02592690879924888
2026-01-10 15:46:25,0,0,1051,1100,1100,2000,1100,0,0,0.04454545454545455,0.02589159415850987
2026-01-10 15:46:27,0,0,1101,1150,1150,2000,1150,0,0,0.04434782608695652,0.02592253199044443
2026-01-10 15:46:28,0,0,1151,1200,1200,2000,1200,0,0,0.04416666666666667,0.025905137409408214
2026-01-10 15:46:30,0,0,1201,1250,1250,2000,1250,0,0,0.0432,0.025890213093186253
2026-01-10 15:46:32,0,0,1251,1300,1300,2000,1300,0,0,0.04461538461538461,0.02586735871629837
2026-01-10 15:46:34,0,0,1301,1350,1350,2000,1350,0,0,0.044444444444444446,0.025912057206132804
2026-01-10 15:46:36,0,0,1351,1400,1400,2000,1400,0,0,0.045714285714285714,0.025907372270382572
2026-01-10 15:46:38,0,0,1401,1450,1450,2000,1450,0,0,0.04551724137931035,0.025905338245074475
2026-01-10 15:46:40,0,0,1451,1500,1500,2000,1500,0,0,0.04733333333333333,0.02591415374062504
2026-01-10 15:46:42,0,0,1501,1550,1550,2000,1550,0,0,0.04645161290322581,0.025954247572613477
2026-01-10 15:46:44,0,0,1551,1600,1600,2000,1600,0,0,0.04625,0.025921123079819627
2026-01-10 15:46:46,0,0,1601,1650,1650,2000,1650,0,0,0.04606060606060606,0.02590325093478086
2026-01-10 15:46:47,0,0,1651,1700,1700,2000,1700,0,0,0.04588235294117647,0.025909362505040855
2026-01-10 15:46:49,0,0,1701,1750,1750,2000,1750,0,0,0.046857142857142854,0.025925605364324304
2026-01-10 15:46:51,0,0,1751,1800,1800,2000,1800,0,0,0.04777777777777778,0.02595548288707859
2026-01-10 15:46:53,0,0,1801,1850,1850,2000,1850,0,0,0.04864864864864865,0.02594361592120439
2026-01-10 15:46:56,0,0,1851,1900,1900,2000,1900,0,0,0.04842105263157895,0.025939474313813948
2026-01-10 15:46:57,0,0,1901,1950,1950,2000,1950,0,0,0.04717948717948718,0.02591957028123723
2026-01-10 15:46:59,0,0,1951,2000,2000,2000,2000,0,0,0.047,0.02593217145138512
2026-01-10 15:47:01,0.03,0.02955880224154443,1,50,50,2000,50,0,0,0.18,0.025220406814155844
2026-01-10 15:47:03,0.03,0.02955880224154443,51,100,100,2000,100,0,0,0.21,0.025438231167177975
2026-01-10 15:47:05,0.03,0.02955880224154443,101,150,150,2000,150,0,0,0.21333333333333335,0.025654199286804683
2026-01-10 15:47:07,0.03,0.02955880224154443,151,200,200,2000,200,0,0,0.22,0.025556770723682693
2026-01-10 15:47:09,0.03,0.02955880224154443,201,250,250,2000,250,0,0,0.208,0.02570273078759882
2026-01-10 15:47:11,0.03,0.02955880224154443,251,300,300,2000,300,0,0,0.2,0.025729271829748643
2026-01-10 15:47:12,0.03,0.02955880224154443,301,350,350,2000,350,0,0,0.22,0.02560661938131672
2026-01-10 15:47:14,0.03,0.02955880224154443,351,400,400,2000,400,0,0,0.205,0.02567469593188691
2026-01-10 15:47:16,0.03,0.02955880224154443,401,450,450,2000,450,0,0,0.20444444444444446,0.02576216261078541
2026-01-10 15:47:18,0.03,0.02955880224154443,451,500,500,2000,500,0,0,0.216,0.02569158154275104
2026-01-10 15:47:20,0.03,0.02955880224154443,501,550,550,2000,550,0,0,0.2109090909090909,0.02572575810163968
2026-01-10 15:47:22,0.03,0.02955880224154443,551,600,600,2000,600,0,0,0.21333333333333335,0.025795589281817726
2026-01-10 15:47:23,0.03,0.02955880224154443,601,650,650,2000,650,0,0,0.2123076923076923,0.02582572113114139
2026-01-10 15:47:25,0.03,0.02955880224154443,651,700,700,2000,700,0,0,0.21571428571428572,0.02579276067534618
2026-01-10 15:47:27,0.03,0.02955880224154443,701,750,750,2000,750,0,0,0.21466666666666667,0.025831259837202324
2026-01-10 15:47:29,0.03,0.02955880224154443,751,800,800,2000,800,0,0,0.21875,0.02585391051223996
2026-01-10 15:47:31,0.03,0.02955880224154443,801,850,850,2000,850,0,0,0.21764705882352942,0.025863941975800858
2026-01-10 15:47:33,0.03,0.02955880224154443,851,900,900,2000,900,0,0,0.21444444444444444,0.025864630141084585
2026-01-10 15:47:35,0.03,0.02955880224154443,901,950,950,2000,950,0,0,0.21157894736842106,0.02585741329287632
2026-01-10 15:47:37,0.03,0.02955880224154443,951,1000,1000,2000,1000,0,0,0.207,0.025880189923350227
2026-01-10 15:47:38,0.03,0.02955880224154443,1001,1050,1050,2000,1050,0,0,0.20761904761904762,0.02592690879962028
